"user_id","relatedness","competence","immersion","fun","autonomy","physical","analytical","socioemotional","insight"
"ApexWanderer","0.5","0.17","0.67","1","1","0.33","1","1","1"
"ArcaneHaze","0.92","0.58","0.33","0.58","0.5","0.5","0.58","0.33","0.67"
"AstroNis","0.67","0.92","0.58","1","0","0.92","1","0.33","0.67"
"BooBooRich","0.67","0.75","0.58","0.67","0.67","0.92","1","0.25","0.25"
"CelestialForge","0.83","0.25","0.33","1","0.25","0.42","0.92","0.25","0.83"
"CilirLas","0.67","1","0.58","0.83","0.75","0.25","0.75","0.67","0.67"
"CorvinusWind","0.67","0.83","0.17","0.75","0.5","0.5","0.67","0.25","0.75"
"ElmirSoulless","0.83","0.5","0.25","0.92","0.33","0.42","1","0.58","0.58"
"ExoriVis","0.58","0.5","0.5","0.92","0.5","0.83","0.92","0.42","0.33"
"HerrJaguarex","0.25","0.83","0.58","0.83","0.92","0.17","0.92","0.58","0.25"
"IndraWeb","0.75","0","0.42","0.83","0.33","0.5","0.75","0.5","0.33"
"KnightPoderoso","0.75","0.33","0.08","0.75","0","0.42","0.5","0","0.33"
"LightingofdWest","1","0.5","0.83","0.75","0.08","0.5","1","0.5","0.33"
"Momo","0.5","0.67","0.58","0.58","0.33","0.33","0.5","0.25","0.5"
"NekosZart","0.58","0.67","1","0.92","0.67","0.5","0.75","1","0.42"
"NovaFrost","0.5","0.58","0.83","0.75","0.5","0.5","0.67","0.42","0.42"
"NovaStriker","0.75","0.92","0.5","0.92","0.67","0.5","0.58","0.83","0.58"
"PearlWaves","0.92","0.92","0.08","0.33","0.08","0.58","0.5","0.75","0.25"
"PhantomFlux","0.67","0.58","0.83","0.92","0.33","0.17","0.83","1","0.83"
"PixelGuardian","1","0.83","0.42","0.92","1","0.58","0.67","0.42","1"
"QuantumRift","1","0.92","0.25","0.83","0.25","0.5","1","0.17","0.67"
"RadiantBlight","0.92","0.92","0.42","0.92","0.42","0.75","1","0.58","0.5"
"SakullMazzo","0","1","0.67","1","0","1","1","0","0.67"
"Scugofu","0.67","0.25","0.58","0.67","0.5","0.33","0.83","0.58","0.42"
"SeleniaShadowBolt","0.67","0.75","0.58","1","0","0.42","1","0.17","0.67"
"ShadowGale","0.58","0.5","0.17","0.92","0.58","0.42","0.67","0.42","0.25"
"SlayerDraco","0.67","0.5","0.67","1","0.42","0.25","1","1","0.67"
"SpectralGale","0.67","0.58","0.25","0.83","0.42","0.42","0.92","0.33","0.75"
"UtamoVita","1","0.92","0.83","0.83","0.67","0.92","1","0.42","0.58"
"UtaniHur","0.33","0.67","0.67","0.92","0.08","0.83","1","0","0.83"
"VortexLynx","0.58","0.42","0.42","0.75","0.25","0.33","0.75","0.42","0.58"
"ZettserCreeper","0.83","0.33","0.33","0.67","0","0.5","0.83","0.58","0.83"
"Ziglopugre","0.58","0.75","0.75","1","1","0.67","0.92","0.67","0.58"
