[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 263.735595703125, 512.0, 0.0
[pos], 50, 271.509765625, 512.0, 0.0
[pos], 66, 279.349029541016, 512.0, 0.0
[pos], 83, 286.977203369141, 512.0, 0.0
[pos], 99, 294.678833007813, 512.0, 0.0
[pos], 116, 300.946441650391, 512.0, 0.0
[pos], 133, 310.651123046875, 512.0, 0.0
[pos], 150, 318.456878662109, 512.0, 0.0
[pos], 166, 326.709686279297, 512.0, 0.0
[pos], 183, 334.746856689453, 512.0, 0.0
[pos], 199, 343.200653076172, 512.0, 0.0
[pos], 216, 351.403381347656, 512.0, 0.0
[pos], 233, 359.678466796875, 512.0, 0.0
[pos], 249, 368.354949951172, 512.0, 0.0
[pos], 266, 376.981262207031, 512.0, 0.0
[pos], 283, 385.281707763672, 512.0, 0.0
[pos], 300, 394.184387207031, 512.0, 0.0
[pos], 316, 402.799102783203, 512.0, 0.0
[pos], 333, 411.485809326172, 512.0, 0.0
[pos], 350, 420.604370117188, 512.0, 0.0
[pos], 366, 429.406494140625, 512.0, 0.0
[pos], 383, 438.515686035156, 512.0, 0.0
[pos], 399, 447.242004394531, 512.0, 0.0
[pos], 416, 456.644012451172, 512.0, 0.0
[pos], 433, 465.8505859375, 512.0, 0.0
[pos], 449, 474.86572265625, 512.0, 0.0
[pos], 466, 484.123107910156, 512.0, 0.0
[pos], 483, 493.765502929688, 512.0, 0.0
[pos], 499, 503.120941162109, 512.0, 0.0
[pos], 516, 512.54052734375, 512.0, 0.0
[pos], 533, 521.725524902344, 512.0, 0.0
[pos], 550, 531.091796875, 512.0, 0.0
[pos], 566, 540.800476074219, 512.0, 0.0
[pos], 583, 550.027038574219, 512.0, 0.0
[pos], 600, 559.156127929688, 512.0, 0.0
[pos], 616, 568.228759765625, 512.0, 0.0
[pos], 633, 577.623352050781, 512.0, 0.0
[pos], 650, 586.571105957031, 512.0, 0.0
[pos], 666, 595.8173828125, 512.0, 0.0
[pos], 683, 604.235046386719, 512.0, 0.0
[pos], 700, 613.348083496094, 512.0, 0.0
[pos], 716, 622.393981933594, 512.0, 0.0
[pos], 733, 630.635437011719, 512.0, 0.0
[pos], 750, 639.544677734375, 512.0, 0.0
[pos], 766, 648.015869140625, 512.0, 0.0
[pos], 783, 656.763610839844, 512.0, 0.0
[pos], 800, 665.089904785156, 512.0, 0.0
[pos], 816, 673.347717285156, 512.0, 0.0
[pos], 833, 681.89501953125, 512.0, 0.0
[pos], 850, 690.053039550781, 512.0, 0.0
[pos], 866, 698.070617675781, 512.0, 0.0
[pos], 883, 706.077453613281, 512.0, 0.0
[pos], 900, 714.303466796875, 512.0, 0.0
[pos], 916, 722.13671875, 512.0, 0.0
[pos], 933, 730.029357910156, 512.0, 0.0
[pos], 950, 737.981689453125, 512.0, 0.0
[pos], 966, 745.609069824219, 512.0, 0.0
[pos], 983, 753.204772949219, 512.0, 0.0
[pos], 1000, 761.030944824219, 512.0, 0.0
[pos], 1016, 768.205688476563, 512.0, 0.0
[pos], 1033, 775.939086914063, 512.0, 0.0
[pos], 1050, 783.314453125, 512.0, 0.0
[pos], 1066, 790.603149414063, 512.0, 0.0
[pos], 1083, 798.109069824219, 512.0, 0.0
[pos], 1100, 804.93408203125, 512.0, 0.0
[pos], 1116, 812.313293457031, 512.0, 0.0
[pos], 1133, 819.027648925781, 512.0, 0.0
[sad], 1133, attach, 0.315
[pos], 1150, 824.151550292969, 506.80224609375, -0.8067929148674
[pos], 1166, 829.286865234375, 501.821594238281, -0.73533177375793
[pos], 1183, 834.657775878906, 497.306030273438, -0.66543161869049
[pos], 1200, 840.676696777344, 492.94775390625, -0.59051424264908
[pos], 1216, 846.78173828125, 489.174987792969, -0.5189448595047
[pos], 1233, 853.208984375, 485.818603515625, -0.4465543627739
[pos], 1250, 860.215942382813, 482.800720214844, -0.36991387605667
[pos], 1266, 867.311218261719, 480.362823486328, -0.29474571347237
[pos], 1283, 874.552917480469, 478.467498779297, -0.22002236545086
[pos], 1300, 882.321655273438, 477.062194824219, -0.14096100628376
[pos], 1316, 889.918640136719, 476.29052734375, -0.06454981863499
[pos], 1333, 897.616821289063, 476.102172851563, 0.01244186982512
[pos], 1350, 905.356262207031, 476.511657714844, 0.09002329409122
[pos], 1366, 913.486511230469, 477.596832275391, 0.17216566205025
[pos], 1383, 921.2060546875, 479.268249511719, 0.25115191936493
[pos], 1400, 928.825927734375, 481.563262939453, 0.33089062571526
[pos], 1416, 936.650817871094, 484.637908935547, 0.41480940580368
[pos], 1433, 943.921020507813, 488.212249755859, 0.4957337975502
[pos], 1449, 951.252563476563, 492.609008789063, 0.58129340410233
[pos], 1466, 957.936828613281, 497.422332763672, 0.663598716259
[pos], 1483, 964.260803222656, 502.823150634766, 0.74663668870926
[pos], 1499, 970.393981933594, 509.038543701172, 0.83382314443588
[pos], 1516, 975.774108886719, 515.516174316406, 0.91783279180527
[pos], 1533, 980.821899414063, 522.788146972656, 1.00648176670074
