[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 272.317321777344, 512.0, 0.0
[pos], 83, 279.700500488281, 512.0, 0.0
[pos], 99, 287.940460205078, 512.0, 0.0
[pos], 116, 295.051818847656, 512.0, 0.0
[pos], 133, 302.501342773438, 512.0, 0.0
[pos], 150, 309.942932128906, 512.0, 0.0
[pos], 166, 320.000061035156, 512.0, 0.0
[pos], 183, 327.662292480469, 512.0, 0.0
[pos], 199, 335.31298828125, 512.0, 0.0
[pos], 216, 343.147674560547, 512.0, 0.0
[pos], 233, 351.168579101563, 512.0, 0.0
[pos], 249, 359.439636230469, 512.0, 0.0
[pos], 266, 369.896026611328, 512.0, 0.0
[pos], 283, 378.220031738281, 512.0, 0.0
[pos], 300, 386.393463134766, 512.0, 0.0
[pos], 316, 394.660827636719, 512.0, 0.0
[pos], 333, 402.716583251953, 512.0, 0.0
[pos], 350, 410.902008056641, 512.0, 0.0
[pos], 366, 421.926788330078, 512.0, 0.0
[pos], 383, 430.441650390625, 512.0, 0.0
[pos], 399, 438.907318115234, 512.0, 0.0
[pos], 416, 447.310577392578, 512.0, 0.0
[pos], 433, 455.895782470703, 512.0, 0.0
[pos], 449, 467.447723388672, 512.0, 0.0
[pos], 466, 475.911499023438, 512.0, 0.0
[pos], 483, 484.644256591797, 512.0, 0.0
[pos], 499, 493.407440185547, 512.0, 0.0
[pos], 516, 502.319885253906, 512.0, 0.0
[pos], 533, 514.270080566406, 512.0, 0.0
[pos], 550, 519.928894042969, 512.0, 0.0
[pos], 566, 528.812622070313, 512.0, 0.0
[pos], 583, 537.585083007813, 512.0, 0.0
[pos], 600, 549.135131835938, 512.0, 0.0
[pos], 616, 557.630554199219, 512.0, 0.0
[pos], 633, 566.039794921875, 512.0, 0.0
[pos], 650, 574.718322753906, 512.0, 0.0
[pos], 666, 585.724487304688, 512.0, 0.0
[pos], 683, 594.008605957031, 512.0, 0.0
[pos], 700, 602.714782714844, 512.0, 0.0
[pos], 716, 610.895751953125, 512.0, 0.0
[pos], 733, 621.802062988281, 512.0, 0.0
[pos], 750, 629.92822265625, 512.0, 0.0
[pos], 766, 638.108520507813, 512.0, 0.0
[pos], 783, 645.510131835938, 512.0, 0.0
[pos], 800, 653.379455566406, 512.0, 0.0
