[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 262.332092285156, 512.0, 0.0
[pos], 66, 268.636505126953, 512.0, 0.0
[pos], 83, 280.146423339844, 512.0, 0.0
[pos], 99, 286.617797851563, 512.0, 0.0
[pos], 116, 292.710754394531, 512.0, 0.0
[pos], 133, 304.434112548828, 512.0, 0.0
[pos], 150, 310.346252441406, 512.0, 0.0
[pos], 166, 317.496704101563, 512.0, 0.0
[pos], 183, 324.060180664063, 512.0, 0.0
[pos], 199, 330.671203613281, 512.0, 0.0
[pos], 216, 344.066589355469, 512.0, 0.0
[pos], 233, 350.873962402344, 512.0, 0.0
[pos], 249, 357.737854003906, 512.0, 0.0
[pos], 266, 364.128845214844, 512.0, 0.0
[pos], 283, 377.991882324219, 512.0, 0.0
[pos], 300, 385.408630371094, 512.0, 0.0
[pos], 316, 393.018341064453, 512.0, 0.0
[pos], 333, 401.083221435547, 512.0, 0.0
[pos], 350, 407.905090332031, 512.0, 0.0
[pos], 366, 422.465576171875, 512.0, 0.0
[pos], 383, 428.871795654297, 512.0, 0.0
[pos], 399, 437.033172607422, 512.0, 0.0
[pos], 416, 444.847808837891, 512.0, 0.0
[pos], 433, 452.422088623047, 512.0, 0.0
[pos], 449, 467.013427734375, 512.0, 0.0
[pos], 466, 475.031646728516, 512.0, 0.0
[pos], 483, 482.962341308594, 512.0, 0.0
[pos], 499, 490.717651367188, 512.0, 0.0
[pos], 516, 498.974975585938, 512.0, 0.0
[pos], 533, 514.244201660156, 512.0, 0.0
[pos], 550, 514.244201660156, 512.0, 0.0
[pos], 566, 522.556213378906, 512.0, 0.0
[pos], 583, 530.815979003906, 512.0, 0.0
[pos], 600, 539.148010253906, 512.0, 0.0
[pos], 616, 554.051025390625, 512.0, 0.0
[pos], 633, 560.8994140625, 512.0, 0.0
[pos], 650, 569.04736328125, 512.0, 0.0
[pos], 666, 577.144470214844, 512.0, 0.0
[pos], 683, 585.436340332031, 512.0, 0.0
[pos], 700, 593.279724121094, 512.0, 0.0
[pos], 716, 607.698852539063, 512.0, 0.0
[pos], 733, 615.645568847656, 512.0, 0.0
[pos], 750, 623.290588378906, 512.0, 0.0
[pos], 766, 630.37744140625, 512.0, 0.0
[pos], 783, 637.9501953125, 512.0, 0.0
[pos], 800, 652.766723632813, 512.0, 0.0
[pos], 816, 659.485473632813, 512.0, 0.0
[pos], 833, 666.473022460938, 512.0, 0.0
[pos], 850, 673.93017578125, 512.0, 0.0
[pos], 866, 680.6630859375, 512.0, 0.0
[pos], 883, 687.783081054688, 512.0, 0.0
[pos], 900, 701.337707519531, 512.0, 0.0
[pos], 916, 708.323181152344, 512.0, 0.0
[pos], 933, 715.646911621094, 512.0, 0.0
[pos], 950, 722.614868164063, 512.0, 0.0
[pos], 966, 729.51611328125, 512.0, 0.0
[pos], 983, 736.145385742188, 512.0, 0.0
[pos], 1000, 748.638000488281, 512.0, 0.0
[pos], 1016, 755.122985839844, 512.0, 0.0
[pos], 1033, 761.618957519531, 512.0, 0.0
[pos], 1050, 768.141906738281, 512.0, 0.0
[pos], 1066, 774.127258300781, 512.0, 0.0
[pos], 1083, 781.646911621094, 512.0, 0.0
[pos], 1100, 788.373962402344, 512.0, 0.0
[pos], 1116, 800.612731933594, 512.0, 0.0
[pos], 1133, 806.893798828125, 512.0, 0.0
[pos], 1150, 813.512817382813, 512.0, 0.0
[pos], 1166, 819.702697753906, 512.0, 0.0
[sad], 1166, attach, 0.31
[pos], 1183, 826.382934570313, 512.0, 0.0
[pos], 1200, 830.697265625, 507.307037353516, -0.82741194963455
[pos], 1216, 835.269287109375, 502.960632324219, -0.76010262966156
[pos], 1233, 844.041320800781, 496.085723876953, -0.62815856933594
[pos], 1250, 849.987426757813, 492.219696044922, -0.57650190591812
[pos], 1266, 849.987426757813, 492.219696044922, -0.57650190591812
[pos], 1283, 863.3408203125, 485.482269287109, -0.39899617433548
[pos], 1300, 869.531799316406, 483.24853515625, -0.34626740217209
[pos], 1316, 875.947692871094, 481.417663574219, -0.27797853946686
[pos], 1333, 883.675170898438, 479.779357910156, -0.20891557633877
[pos], 1350, 890.366088867188, 478.922332763672, -0.12739560008049
[pos], 1366, 895.901306152344, 478.601104736328, -0.0579701140523
[pos], 1383, 903.713500976563, 478.593200683594, -0.00101333484054
[pos], 1400, 916.529602050781, 480.032989501953, 0.1409695148468
[pos], 1416, 922.639953613281, 481.340148925781, 0.21074697375298
[pos], 1433, 929.867797851563, 483.374267578125, 0.27433258295059
[pos], 1449, 936.75634765625, 485.893005371094, 0.35054066777229
[pos], 1466, 943.256774902344, 488.833221435547, 0.42477375268936
[pos], 1483, 949.602294921875, 492.273406982422, 0.49679017066956
[pos], 1499, 961.119323730469, 500.231079101563, 0.63951414823532
[pos], 1516, 966.262084960938, 504.651000976563, 0.70995259284973
[pos], 1533, 971.369323730469, 509.680419921875, 0.77772289514542
[pos], 1549, 976.711120605469, 515.751098632813, 0.84918195009232
[pos], 1566, 981.544372558594, 522.225891113281, 0.92955446243286
[pos], 1583, 985.643615722656, 528.747009277344, 1.0096048116684
[pos], 1599, 989.234497070313, 535.559204101563, 1.08568835258484
[pos], 1616, 992.318237304688, 542.668640136719, 1.16153466701508
[pos], 1633, 996.617309570313, 556.681274414063, 1.31730437278748
[pos], 1649, 997.902648925781, 563.375732421875, 1.38110280036926
[pos], 1666, 998.888427734375, 571.333068847656, 1.44753873348236
[pos], 1683, 999.227172851563, 578.801147460938, 1.5254682302475
[pos], 1699, 999.010070800781, 586.802124023438, 1.59792542457581
[pos], 1716, 996.673767089844, 602.938842773438, 1.75286543369293
[pos], 1733, 994.81787109375, 609.874572753906, 1.83225631713867
