[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 327.354217529297, 512.0, 0.0
[pos], 183, 333.721649169922, 512.0, 0.0
[pos], 199, 333.721649169922, 512.0, 0.0
[pos], 216, 352.012939453125, 512.0, 0.0
[pos], 233, 360.503784179688, 512.0, 0.0
[pos], 249, 368.897705078125, 512.0, 0.0
[pos], 266, 377.385437011719, 512.0, 0.0
[pos], 283, 385.855407714844, 512.0, 0.0
[pos], 300, 394.625244140625, 512.0, 0.0
[pos], 316, 403.376342773438, 512.0, 0.0
[pos], 333, 412.092926025391, 512.0, 0.0
[pos], 350, 420.731994628906, 512.0, 0.0
[pos], 366, 429.472564697266, 512.0, 0.0
[pos], 383, 438.912750244141, 512.0, 0.0
[pos], 399, 447.654846191406, 512.0, 0.0
[pos], 416, 457.116577148438, 512.0, 0.0
[pos], 433, 466.296447753906, 512.0, 0.0
[pos], 449, 475.524444580078, 512.0, 0.0
[pos], 466, 484.519409179688, 512.0, 0.0
[pos], 483, 493.721710205078, 512.0, 0.0
[pos], 499, 503.244110107422, 512.0, 0.0
[pos], 516, 513.321716308594, 512.0, 0.0
[pos], 533, 522.141357421875, 512.0, 0.0
[pos], 550, 531.797424316406, 512.0, 0.0
[pos], 566, 541.268920898438, 512.0, 0.0
[pos], 583, 550.22509765625, 512.0, 0.0
[pos], 600, 559.678894042969, 512.0, 0.0
[pos], 616, 568.962219238281, 512.0, 0.0
[pos], 633, 578.159118652344, 512.0, 0.0
[pos], 650, 587.208923339844, 512.0, 0.0
[pos], 666, 596.291198730469, 512.0, 0.0
[pos], 683, 605.242553710938, 512.0, 0.0
[pos], 700, 610.187438964844, 512.0, 0.0
[pos], 716, 622.714172363281, 512.0, 0.0
[pos], 733, 631.780578613281, 512.0, 0.0
[pos], 750, 640.064697265625, 512.0, 0.0
[pos], 766, 648.88525390625, 512.0, 0.0
[pos], 783, 657.195434570313, 512.0, 0.0
[pos], 800, 665.864868164063, 512.0, 0.0
[pos], 816, 674.018493652344, 512.0, 0.0
