[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 322.337371826172, 512.0, 0.0
[pos], 183, 330.105743408203, 512.0, 0.0
[pos], 199, 330.105743408203, 512.0, 0.0
[pos], 216, 346.873748779297, 512.0, 0.0
[pos], 233, 355.583587646484, 512.0, 0.0
[pos], 249, 363.572235107422, 512.0, 0.0
[pos], 266, 372.292694091797, 512.0, 0.0
[pos], 283, 381.132232666016, 512.0, 0.0
[pos], 300, 389.605041503906, 512.0, 0.0
[pos], 316, 398.478118896484, 512.0, 0.0
[pos], 333, 406.623779296875, 512.0, 0.0
[pos], 350, 415.757446289063, 512.0, 0.0
[pos], 366, 424.412292480469, 512.0, 0.0
[pos], 383, 433.532257080078, 512.0, 0.0
[pos], 399, 442.837982177734, 512.0, 0.0
[pos], 416, 451.316253662109, 512.0, 0.0
[pos], 433, 460.764984130859, 512.0, 0.0
[pos], 449, 470.290496826172, 512.0, 0.0
[pos], 466, 478.987640380859, 512.0, 0.0
[pos], 483, 488.732635498047, 512.0, 0.0
[pos], 499, 498.457977294922, 512.0, 0.0
[pos], 516, 507.27099609375, 512.0, 0.0
[pos], 533, 516.177368164063, 512.0, 0.0
[pos], 550, 526.027038574219, 512.0, 0.0
[pos], 566, 534.794189453125, 512.0, 0.0
[pos], 583, 544.452819824219, 512.0, 0.0
[pos], 600, 554.241943359375, 512.0, 0.0
[pos], 616, 562.793518066406, 512.0, 0.0
[pos], 633, 572.229125976563, 512.0, 0.0
[pos], 650, 581.616149902344, 512.0, 0.0
[pos], 666, 590.909729003906, 512.0, 0.0
[pos], 683, 599.186462402344, 512.0, 0.0
[pos], 700, 608.453063964844, 512.0, 0.0
[pos], 716, 617.066223144531, 512.0, 0.0
[pos], 733, 626.183044433594, 512.0, 0.0
[pos], 750, 635.17236328125, 512.0, 0.0
[pos], 766, 643.141479492188, 512.0, 0.0
[pos], 783, 651.95068359375, 512.0, 0.0
[pos], 800, 660.741394042969, 512.0, 0.0
[pos], 816, 668.577270507813, 512.0, 0.0
