[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 328.171691894531, 512.0, 0.0
[pos], 183, 335.982727050781, 512.0, 0.0
[pos], 199, 335.982727050781, 512.0, 0.0
[pos], 216, 352.021118164063, 512.0, 0.0
[pos], 233, 360.682769775391, 512.0, 0.0
[pos], 249, 369.232879638672, 512.0, 0.0
[pos], 266, 377.534973144531, 512.0, 0.0
[pos], 283, 386.274688720703, 512.0, 0.0
[pos], 300, 394.611022949219, 512.0, 0.0
[pos], 316, 402.858734130859, 512.0, 0.0
[pos], 333, 411.053070068359, 512.0, 0.0
[pos], 350, 419.623992919922, 512.0, 0.0
[pos], 366, 427.899566650391, 512.0, 0.0
[pos], 383, 439.955657958984, 512.0, 0.0
[pos], 399, 448.464569091797, 512.0, 0.0
[pos], 416, 456.957336425781, 512.0, 0.0
[pos], 433, 465.59619140625, 512.0, 0.0
[pos], 449, 474.362182617188, 512.0, 0.0
[pos], 466, 483.037780761719, 512.0, 0.0
[pos], 483, 495.576019287109, 512.0, 0.0
[pos], 499, 504.082336425781, 512.0, 0.0
[pos], 516, 513.113342285156, 512.0, 0.0
[pos], 533, 517.234252929688, 512.0, 0.0
[pos], 550, 526.202331542969, 512.0, 0.0
[pos], 566, 535.545104980469, 512.0, 0.0
[pos], 583, 544.770385742188, 512.0, 0.0
[pos], 600, 554.027221679688, 512.0, 0.0
[pos], 616, 563.525268554688, 512.0, 0.0
[pos], 633, 572.567138671875, 512.0, 0.0
[pos], 650, 581.366455078125, 512.0, 0.0
[pos], 666, 590.844848632813, 512.0, 0.0
[pos], 683, 600.626098632813, 512.0, 0.0
[pos], 700, 609.563842773438, 512.0, 0.0
[pos], 716, 614.229797363281, 512.0, 0.0
[pos], 733, 628.365356445313, 512.0, 0.0
[pos], 750, 636.255676269531, 512.0, 0.0
[pos], 766, 644.617553710938, 512.0, 0.0
[pos], 783, 653.344970703125, 512.0, 0.0
[pos], 800, 661.573974609375, 512.0, 0.0
[pos], 816, 670.259155273438, 512.0, 0.0
