[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 324.524719238281, 512.0, 0.0
[pos], 183, 331.801055908203, 512.0, 0.0
[pos], 199, 331.801055908203, 512.0, 0.0
[pos], 216, 331.801055908203, 512.0, 0.0
[pos], 233, 357.893737792969, 512.0, 0.0
[pos], 249, 366.445251464844, 512.0, 0.0
[pos], 266, 374.433410644531, 512.0, 0.0
[pos], 283, 382.864532470703, 512.0, 0.0
[pos], 300, 392.134002685547, 512.0, 0.0
[pos], 316, 400.744659423828, 512.0, 0.0
[pos], 333, 409.009460449219, 512.0, 0.0
[pos], 350, 418.154052734375, 512.0, 0.0
[pos], 366, 427.334564208984, 512.0, 0.0
[pos], 383, 435.803375244141, 512.0, 0.0
[pos], 399, 444.292816162109, 512.0, 0.0
[pos], 416, 454.33447265625, 512.0, 0.0
[pos], 433, 462.975708007813, 512.0, 0.0
[pos], 449, 472.494567871094, 512.0, 0.0
[pos], 466, 481.797790527344, 512.0, 0.0
[pos], 483, 491.535339355469, 512.0, 0.0
[pos], 499, 500.545989990234, 512.0, 0.0
[pos], 516, 510.311859130859, 512.0, 0.0
[pos], 533, 519.09130859375, 512.0, 0.0
[pos], 550, 528.097351074219, 512.0, 0.0
[pos], 566, 537.802368164063, 512.0, 0.0
[pos], 583, 547.482299804688, 512.0, 0.0
[pos], 600, 556.845275878906, 512.0, 0.0
[pos], 616, 565.634704589844, 512.0, 0.0
[pos], 633, 575.122619628906, 512.0, 0.0
[pos], 650, 583.486694335938, 512.0, 0.0
[pos], 666, 592.909423828125, 512.0, 0.0
[pos], 683, 602.193359375, 512.0, 0.0
[pos], 700, 610.628967285156, 512.0, 0.0
[pos], 716, 619.42578125, 512.0, 0.0
[pos], 733, 628.499206542969, 512.0, 0.0
[pos], 750, 637.060241699219, 512.0, 0.0
[pos], 766, 645.923767089844, 512.0, 0.0
[pos], 783, 654.234069824219, 512.0, 0.0
[pos], 800, 662.832458496094, 512.0, 0.0
[pos], 816, 671.330261230469, 512.0, 0.0
