[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 314.687255859375, 512.0, 0.0
[pos], 183, 322.264434814453, 512.0, 0.0
[pos], 199, 331.733489990234, 512.0, 0.0
[pos], 216, 339.874694824219, 512.0, 0.0
[pos], 233, 339.874694824219, 512.0, 0.0
[pos], 249, 339.874694824219, 512.0, 0.0
[pos], 266, 363.642883300781, 512.0, 0.0
[pos], 283, 371.925079345703, 512.0, 0.0
[pos], 300, 381.633728027344, 512.0, 0.0
[pos], 316, 391.647796630859, 512.0, 0.0
[pos], 333, 401.090118408203, 512.0, 0.0
[pos], 350, 411.744537353516, 512.0, 0.0
[pos], 366, 420.625640869141, 512.0, 0.0
[pos], 383, 430.856781005859, 512.0, 0.0
[pos], 399, 440.758239746094, 512.0, 0.0
[pos], 416, 450.401702880859, 512.0, 0.0
[pos], 433, 459.97265625, 512.0, 0.0
[pos], 449, 459.97265625, 512.0, 0.0
[pos], 466, 469.829498291016, 512.0, 0.0
[pos], 483, 487.156341552734, 512.0, 0.0
[pos], 499, 496.629821777344, 512.0, 0.0
[pos], 516, 505.570465087891, 512.0, 0.0
[pos], 533, 514.773864746094, 512.0, 0.0
[pos], 550, 524.108337402344, 512.0, 0.0
[pos], 566, 524.108337402344, 512.0, 0.0
[pos], 583, 532.9775390625, 512.0, 0.0
[pos], 600, 540.28955078125, 512.0, 0.0
[pos], 616, 548.023010253906, 512.0, 0.0
[pos], 633, 557.182189941406, 512.0, 0.0
[pos], 650, 565.562561035156, 512.0, 0.0
[pos], 666, 582.293640136719, 512.0, 0.0
[pos], 683, 590.79296875, 512.0, 0.0
[pos], 700, 597.620910644531, 512.0, 0.0
[pos], 716, 604.83984375, 512.0, 0.0
[pos], 733, 612.992736816406, 512.0, 0.0
[pos], 750, 621.198425292969, 512.0, 0.0
[pos], 766, 621.198425292969, 512.0, 0.0
[pos], 783, 621.198425292969, 512.0, 0.0
[pos], 800, 648.596801757813, 512.0, 0.0
[pos], 816, 654.965637207031, 512.0, 0.0
