[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 266.994232177734, 512.0, 0.0
[pos], 50, 274.501373291016, 512.0, 0.0
[pos], 66, 282.316986083984, 512.0, 0.0
[pos], 83, 290.364868164063, 512.0, 0.0
[pos], 99, 298.057159423828, 512.0, 0.0
[pos], 116, 306.097869873047, 512.0, 0.0
[pos], 133, 314.084655761719, 512.0, 0.0
[pos], 150, 322.027587890625, 512.0, 0.0
[pos], 166, 329.659362792969, 512.0, 0.0
[pos], 183, 337.980102539063, 512.0, 0.0
[pos], 199, 346.752258300781, 512.0, 0.0
[pos], 216, 354.818908691406, 512.0, 0.0
[pos], 233, 362.954132080078, 512.0, 0.0
[pos], 249, 371.592102050781, 512.0, 0.0
[pos], 266, 380.048950195313, 512.0, 0.0
[pos], 283, 388.984619140625, 512.0, 0.0
[pos], 300, 397.298370361328, 512.0, 0.0
[pos], 316, 406.213012695313, 512.0, 0.0
[pos], 333, 415.382751464844, 512.0, 0.0
[pos], 350, 423.5625, 512.0, 0.0
[pos], 366, 432.718414306641, 512.0, 0.0
[pos], 383, 441.835876464844, 512.0, 0.0
[pos], 399, 451.189727783203, 512.0, 0.0
[pos], 416, 460.5927734375, 512.0, 0.0
[pos], 433, 469.160919189453, 512.0, 0.0
[pos], 449, 478.842071533203, 512.0, 0.0
[pos], 466, 488.480316162109, 512.0, 0.0
[pos], 483, 497.473571777344, 512.0, 0.0
[pos], 499, 507.270935058594, 512.0, 0.0
[pos], 516, 515.895568847656, 512.0, 0.0
[pos], 533, 525.543518066406, 512.0, 0.0
[pos], 550, 534.476745605469, 512.0, 0.0
[pos], 566, 544.127197265625, 512.0, 0.0
[pos], 583, 553.069885253906, 512.0, 0.0
[pos], 600, 562.810668945313, 512.0, 0.0
[pos], 616, 572.040710449219, 512.0, 0.0
[pos], 633, 580.626342773438, 512.0, 0.0
[pos], 650, 590.167114257813, 512.0, 0.0
[pos], 666, 598.903442382813, 512.0, 0.0
[pos], 683, 607.969665527344, 512.0, 0.0
[pos], 700, 616.446533203125, 512.0, 0.0
[pos], 716, 625.415161132813, 512.0, 0.0
[pos], 733, 634.19677734375, 512.0, 0.0
[pos], 750, 643.007995605469, 512.0, 0.0
[pos], 766, 651.063354492188, 512.0, 0.0
[pos], 783, 659.795166015625, 512.0, 0.0
[pos], 800, 667.856811523438, 512.0, 0.0
[pos], 816, 676.547668457031, 512.0, 0.0
[pos], 833, 685.025146484375, 512.0, 0.0
[pos], 850, 692.803894042969, 512.0, 0.0
[pos], 866, 701.264465332031, 512.0, 0.0
[pos], 883, 709.021911621094, 512.0, 0.0
[pos], 900, 717.557983398438, 512.0, 0.0
[pos], 916, 725.368225097656, 512.0, 0.0
[pos], 933, 733.202697753906, 512.0, 0.0
[pos], 950, 740.876037597656, 512.0, 0.0
[pos], 966, 748.608337402344, 512.0, 0.0
[pos], 983, 756.216186523438, 512.0, 0.0
[pos], 1000, 763.864807128906, 512.0, 0.0
[pos], 1016, 771.555786132813, 512.0, 0.0
[pos], 1033, 778.878173828125, 512.0, 0.0
[pos], 1050, 786.369262695313, 512.0, 0.0
[pos], 1066, 793.578674316406, 512.0, 0.0
[pos], 1083, 800.684020996094, 512.0, 0.0
[pos], 1100, 807.685119628906, 512.0, 0.0
[pos], 1116, 814.964111328125, 512.0, 0.0
[pos], 1133, 822.049072265625, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 826.763244628906, 507.555755615234, -0.79651433229446
[pos], 1166, 832.054565429688, 502.555755615234, -0.72087568044662
[pos], 1183, 837.848754882813, 497.856628417969, -0.64494580030441
[pos], 1200, 843.784545898438, 493.742095947266, -0.57186007499695
[pos], 1216, 850.112548828125, 490.021911621094, -0.49847069382668
[pos], 1233, 856.484741210938, 486.886962890625, -0.42169696092606
[pos], 1250, 863.334594726563, 484.127471923828, -0.34894970059395
[pos], 1266, 870.571166992188, 481.838897705078, -0.27067333459854
[pos], 1283, 878.234985351563, 480.067718505859, -0.19008140265942
[pos], 1300, 885.2197265625, 479.008026123047, -0.11774989962578
[pos], 1316, 893.220275878906, 478.417877197266, -0.03422439098358
[pos], 1333, 901.139892578125, 478.484161376953, 0.04623351991177
[pos], 1350, 908.780944824219, 479.16015625, 0.12396211922169
[pos], 1366, 916.026062011719, 480.366394042969, 0.19755202531815
[pos], 1383, 924.645141601563, 482.547698974609, 0.29006835818291
[pos], 1400, 931.792602539063, 485.013122558594, 0.36996206641197
[pos], 1416, 939.166015625, 488.232513427734, 0.4497258067131
[pos], 1433, 946.29638671875, 492.075012207031, 0.5340371131897
[pos], 1449, 953.416320800781, 496.732452392578, 0.61913353204727
[pos], 1466, 959.863159179688, 501.785125732422, 0.70280355215073
[pos], 1483, 965.998107910156, 507.493255615234, 0.78943032026291
[pos], 1499, 971.987243652344, 514.148986816406, 0.87972736358643
[pos], 1516, 977.154724121094, 521.044555664063, 0.96801429986954
[pos], 1533, 981.672668457031, 528.321899414063, 1.05500876903534
[pos], 1549, 985.394287109375, 535.644470214844, 1.13872671127319
