[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 267.090972900391, 512.0, 0.0
[pos], 50, 274.595184326172, 512.0, 0.0
[pos], 66, 282.156311035156, 512.0, 0.0
[pos], 83, 289.857330322266, 512.0, 0.0
[pos], 99, 297.776885986328, 512.0, 0.0
[pos], 116, 305.587310791016, 512.0, 0.0
[pos], 133, 313.5673828125, 512.0, 0.0
[pos], 150, 321.506713867188, 512.0, 0.0
[pos], 166, 330.151184082031, 512.0, 0.0
[pos], 183, 338.28515625, 512.0, 0.0
[pos], 199, 346.368438720703, 512.0, 0.0
[pos], 216, 354.54931640625, 512.0, 0.0
[pos], 233, 363.016387939453, 512.0, 0.0
[pos], 249, 371.277313232422, 512.0, 0.0
[pos], 266, 379.806518554688, 512.0, 0.0
[pos], 283, 388.397766113281, 512.0, 0.0
[pos], 300, 397.060272216797, 512.0, 0.0
[pos], 316, 406.495056152344, 512.0, 0.0
[pos], 333, 415.207977294922, 512.0, 0.0
[pos], 350, 423.977996826172, 512.0, 0.0
[pos], 366, 432.768157958984, 512.0, 0.0
[pos], 383, 441.637664794922, 512.0, 0.0
[pos], 399, 450.644317626953, 512.0, 0.0
[pos], 416, 459.724639892578, 512.0, 0.0
[pos], 433, 469.533142089844, 512.0, 0.0
[pos], 449, 478.698669433594, 512.0, 0.0
[pos], 466, 488.077880859375, 512.0, 0.0
[pos], 483, 497.417327880859, 512.0, 0.0
[pos], 499, 506.816162109375, 512.0, 0.0
[pos], 516, 515.490966796875, 512.0, 0.0
[pos], 533, 525.006652832031, 512.0, 0.0
[pos], 550, 534.340026855469, 512.0, 0.0
[pos], 566, 544.477844238281, 512.0, 0.0
[pos], 583, 553.03955078125, 512.0, 0.0
[pos], 600, 562.338134765625, 512.0, 0.0
[pos], 616, 572.147033691406, 512.0, 0.0
[pos], 633, 581.169677734375, 512.0, 0.0
[pos], 650, 590.033935546875, 512.0, 0.0
[pos], 666, 598.943481445313, 512.0, 0.0
[pos], 683, 607.567016601563, 512.0, 0.0
[pos], 700, 616.789428710938, 512.0, 0.0
[pos], 716, 625.231811523438, 512.0, 0.0
[pos], 733, 634.469116210938, 512.0, 0.0
[pos], 750, 642.72607421875, 512.0, 0.0
[pos], 766, 651.116088867188, 512.0, 0.0
[pos], 783, 659.522583007813, 512.0, 0.0
[pos], 800, 667.877868652344, 512.0, 0.0
[pos], 816, 676.144348144531, 512.0, 0.0
[pos], 833, 685.094055175781, 512.0, 0.0
[pos], 850, 693.234252929688, 512.0, 0.0
[pos], 866, 701.308166503906, 512.0, 0.0
[pos], 883, 709.341064453125, 512.0, 0.0
[pos], 900, 717.215881347656, 512.0, 0.0
[pos], 916, 724.97265625, 512.0, 0.0
[pos], 933, 732.834777832031, 512.0, 0.0
[pos], 950, 740.707946777344, 512.0, 0.0
[pos], 966, 748.429992675781, 512.0, 0.0
[pos], 983, 755.884338378906, 512.0, 0.0
[pos], 1000, 764.022705078125, 512.0, 0.0
[pos], 1016, 771.470825195313, 512.0, 0.0
[pos], 1033, 778.869812011719, 512.0, 0.0
[pos], 1050, 786.255920410156, 512.0, 0.0
[pos], 1066, 793.3623046875, 512.0, 0.0
[pos], 1083, 800.413208007813, 512.0, 0.0
[pos], 1100, 807.722045898438, 512.0, 0.0
[pos], 1116, 814.768920898438, 512.0, 0.0
[pos], 1133, 821.7373046875, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 826.742553710938, 507.297119140625, -0.79623365402222
[pos], 1166, 831.883056640625, 502.441955566406, -0.72371453046799
[pos], 1183, 837.606811523438, 497.784606933594, -0.64840883016586
[pos], 1200, 843.665710449219, 493.573974609375, -0.57296866178513
[pos], 1216, 849.492004394531, 490.120819091797, -0.50373715162277
[pos], 1233, 856.320922851563, 486.725616455078, -0.42518982291222
[pos], 1250, 863.351440429688, 483.8896484375, -0.34818610548973
[pos], 1266, 870.154602050781, 481.723449707031, -0.27544113993645
[pos], 1283, 878.095153808594, 479.862915039063, -0.19207882881165
[pos], 1300, 885.462036132813, 478.746520996094, -0.11606122553349
[pos], 1316, 892.998291015625, 478.189605712891, -0.03916058316827
[pos], 1333, 900.564880371094, 478.216674804688, 0.03854797407985
[pos], 1350, 908.91796875, 478.928771972656, 0.1241243481636
[pos], 1366, 916.562866210938, 480.220489501953, 0.20312951505184
[pos], 1383, 924.080932617188, 482.112060546875, 0.28243979811668
[pos], 1400, 931.56201171875, 484.643402099609, 0.36279717087746
[pos], 1416, 939.529846191406, 488.115509033203, 0.45161604881287
[pos], 1433, 946.6123046875, 491.950653076172, 0.53377091884613
[pos], 1449, 953.349365234375, 496.348449707031, 0.61556279659271
[pos], 1466, 959.697692871094, 501.2783203125, 0.69706946611404
[pos], 1483, 966.397888183594, 507.491302490234, 0.79024261236191
[pos], 1499, 971.965515136719, 513.659240722656, 0.87495273351669
[pos], 1516, 976.94384765625, 520.205688476563, 0.95842361450195
[pos], 1533, 981.447692871094, 527.299499511719, 1.04375219345093
[pos], 1549, 985.708923339844, 535.575317382813, 1.13847923278809
[pos], 1566, 988.945861816406, 543.574523925781, 1.22594904899597
[pos], 1583, 991.416625976563, 551.628601074219, 1.3114937543869
[pos], 1599, 993.236450195313, 560.12451171875, 1.39958596229553
[pos], 1616, 994.372375488281, 569.724609375, 1.49760675430298
[pos], 1633, 994.583740234375, 578.612548828125, 1.58782815933228
[pos], 1649, 993.995483398438, 587.468933105469, 1.67772257328033
[pos], 1666, 992.588439941406, 596.362182617188, 1.76925730705261
[pos], 1683, 990.099487304688, 605.989929199219, 1.87010085582733
[pos], 1699, 986.948791503906, 614.627563476563, 1.96281754970551
[pos], 1716, 983.041687011719, 622.871398925781, 2.05501341819763
[pos], 1733, 978.308349609375, 630.84765625, 2.14916276931763
[pos], 1749, 972.840698242188, 638.356628417969, 2.24280118942261
[pos], 1766, 965.973937988281, 646.053283691406, 2.34717679023743
[pos], 1783, 959.062683105469, 652.400939941406, 2.44163942337036
[pos], 1799, 951.544982910156, 658.091064453125, 2.53671073913574
[pos], 1816, 943.375671386719, 663.12109375, 2.63383507728577
[pos], 1833, 933.784057617188, 667.752563476563, 2.7412383556366
[pos], 1849, 924.718566894531, 671.03662109375, 2.83801460266113
[pos], 1866, 915.306396484375, 673.441345214844, 2.93613266944885
[pos], 1883, 904.790771484375, 675.004943847656, 3.04269289970398
[pos], 1899, 894.975830078125, 675.444458007813, 3.14121699333191
[pos], 1916, 885.068908691406, 674.903625488281, 3.24107193946838
[pos], 1933, 874.148010253906, 673.141540527344, 3.35224223136902
[pos], 1949, 864.311645507813, 670.454528808594, 3.45471239089966
[pos], 1966, 854.832641601563, 666.790771484375, 3.55667757987976
[pos], 1983, 846.868835449219, 662.830383300781, 3.62847256660461
[pos], 1999, 836.921875, 656.578552246094, 3.75825023651123
[pos], 2016, 828.727600097656, 649.961730957031, 3.86897611618042
[pos], 2033, 820.582092285156, 641.740539550781, 3.98473763465881
[pos], 2049, 814.153198242188, 633.646545410156, 4.08812189102173
[pos], 2066, 808.551452636719, 624.860229492188, 4.19220781326294
[pos], 2083, 803.381408691406, 614.344909667969, 4.30854988098145
[pos], 2099, 799.833618164063, 604.515441894531, 4.41325044631958
[pos], 2116, 797.286987304688, 594.164184570313, 4.51908206939697
[pos], 2133, 795.758422851563, 582.363159179688, 4.6376895904541
[pos], 2149, 795.59228515625, 571.442626953125, 4.7463116645813
[pos], 2166, 796.608337402344, 560.593383789063, 4.8552713394165
[pos], 2183, 799.095153808594, 548.788940429688, 4.97500610351563
[pos], 2199, 802.660034179688, 538.14501953125, 5.0860013961792
[pos], 2216, 807.294860839844, 528.139465332031, 5.19575452804565
[pos], 2233, 813.66943359375, 517.72412109375, 5.3168683052063
[pos], 2249, 820.568481445313, 508.928436279297, 5.42742824554443
[pos], 2266, 828.458801269531, 500.892730712891, 5.53907918930054
[pos], 2283, 838.059753417969, 493.165893554688, 5.66167116165161
[pos], 2299, 847.608642578125, 487.166351318359, 5.77263116836548
[pos], 2316, 857.710632324219, 482.290466308594, 5.88403272628784
[pos], 2333, 869.556640625, 478.201873779297, 6.00710344314575
[pos], 2349, 880.55419921875, 475.801849365234, 6.11876773834229
[pos], 2366, 891.789733886719, 474.632934570313, 6.23024129867554
[pos], 2383, 904.226623535156, 474.800323486328, 6.35262537002563
[pos], 2399, 915.355346679688, 476.25537109375, 6.4635534286499
[pos], 2416, 926.324768066406, 478.949493408203, 6.57438850402832
[pos], 2433, 938.013732910156, 483.321716308594, 6.69723987579346
[pos], 2449, 948.145751953125, 488.535247802734, 6.80917549133301
[pos], 2466, 957.581298828125, 494.809356689453, 6.92072820663452
[pos], 2483, 967.02685546875, 502.820922851563, 7.04220342636108
[pos], 2499, 974.789184570313, 511.136901855469, 7.15338563919067
[pos], 2516, 981.483520507813, 520.127197265625, 7.26309823989868
[pos], 2533, 987.302673339844, 530.08056640625, 7.3768162727356
[pos], 2549, 992.319152832031, 541.596557617188, 7.49911689758301
[pos], 2566, 995.618835449219, 552.50830078125, 7.61074209213257
[pos], 2583, 997.689086914063, 563.748107910156, 7.72238206863403
[pos], 2599, 998.494689941406, 575.164184570313, 7.83417558670044
[pos], 2616, 998.040161132813, 586.396911621094, 7.94417190551758
[pos], 2633, 996.265258789063, 597.973815917969, 8.05770397186279
