[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 320.785308837891, 512.0, 0.0
[pos], 166, 322.973052978516, 512.0, 0.0
[pos], 183, 329.671569824219, 512.0, 0.0
[pos], 199, 345.701202392578, 512.0, 0.0
[pos], 216, 353.738372802734, 512.0, 0.0
[pos], 233, 362.177032470703, 512.0, 0.0
[pos], 249, 370.668395996094, 512.0, 0.0
[pos], 266, 379.242309570313, 512.0, 0.0
[pos], 283, 388.041870117188, 512.0, 0.0
[pos], 300, 396.743713378906, 512.0, 0.0
[pos], 316, 405.481048583984, 512.0, 0.0
[pos], 333, 414.282165527344, 512.0, 0.0
[pos], 350, 423.170928955078, 512.0, 0.0
[pos], 366, 432.132720947266, 512.0, 0.0
[pos], 383, 440.575469970703, 512.0, 0.0
[pos], 399, 449.654418945313, 512.0, 0.0
[pos], 416, 458.858520507813, 512.0, 0.0
[pos], 433, 468.084777832031, 512.0, 0.0
[pos], 449, 477.39697265625, 512.0, 0.0
[pos], 466, 486.797668457031, 512.0, 0.0
[pos], 483, 496.231750488281, 512.0, 0.0
[pos], 499, 505.777221679688, 512.0, 0.0
[pos], 516, 514.709350585938, 512.0, 0.0
[pos], 533, 524.253845214844, 512.0, 0.0
[pos], 550, 533.775939941406, 512.0, 0.0
[pos], 566, 543.183532714844, 512.0, 0.0
[pos], 583, 552.5712890625, 512.0, 0.0
[pos], 600, 561.892333984375, 512.0, 0.0
[pos], 616, 571.177185058594, 512.0, 0.0
[pos], 633, 580.304443359375, 512.0, 0.0
[pos], 650, 589.37451171875, 512.0, 0.0
[pos], 666, 598.389343261719, 512.0, 0.0
[pos], 683, 607.361083984375, 512.0, 0.0
[pos], 700, 616.184265136719, 512.0, 0.0
[pos], 716, 624.806457519531, 512.0, 0.0
[pos], 733, 633.601440429688, 512.0, 0.0
[pos], 750, 642.319091796875, 512.0, 0.0
[pos], 766, 650.915771484375, 512.0, 0.0
[pos], 783, 659.089416503906, 512.0, 0.0
[pos], 800, 667.523254394531, 512.0, 0.0
[pos], 816, 675.967712402344, 512.0, 0.0
[pos], 833, 684.270568847656, 512.0, 0.0
[pos], 850, 692.513793945313, 512.0, 0.0
[pos], 866, 700.706237792969, 512.0, 0.0
[pos], 883, 708.83544921875, 512.0, 0.0
[pos], 900, 716.871643066406, 512.0, 0.0
[pos], 916, 724.839416503906, 512.0, 0.0
[pos], 933, 732.667907714844, 512.0, 0.0
[pos], 950, 740.550170898438, 512.0, 0.0
[pos], 966, 748.278015136719, 512.0, 0.0
[pos], 983, 755.878356933594, 512.0, 0.0
[pos], 1000, 763.492858886719, 512.0, 0.0
[pos], 1016, 771.111267089844, 512.0, 0.0
[pos], 1033, 778.579956054688, 512.0, 0.0
[pos], 1050, 806.56591796875, 512.0, 0.0
[pos], 1066, 812.398620605469, 512.0, 0.0
[pos], 1083, 820.562561035156, 512.0, 0.0
[sad], 1083, attach, 0.31
[pos], 1100, 825.037292480469, 507.620697021484, -0.80943715572357
[pos], 1116, 830.828979492188, 502.029113769531, -0.73955988883972
[pos], 1133, 836.426025390625, 497.415649414063, -0.65442949533463
[pos], 1150, 842.237121582031, 493.300140380859, -0.58228009939194
[pos], 1166, 848.352294921875, 489.592559814453, -0.52380418777466
[pos], 1183, 854.91748046875, 486.253662109375, -0.4352063536644
[pos], 1200, 862.189880371094, 483.237915039063, -0.35554912686348
[pos], 1216, 869.290161132813, 480.910064697266, -0.28031873703003
[pos], 1233, 876.232604980469, 479.197967529297, -0.20760236680508
[pos], 1250, 883.839782714844, 477.921051025391, -0.12972155213356
[pos], 1266, 891.660949707031, 477.224304199219, -0.05065804347396
[pos], 1283, 899.619750976563, 477.162078857422, 0.03018512576818
[pos], 1300, 907.392028808594, 477.723480224609, 0.10905226320028
[pos], 1316, 914.477355957031, 478.768646240234, 0.18119435012341
[pos], 1333, 923.03955078125, 480.755493164063, 0.27004361152649
[pos], 1350, 930.675476074219, 483.227996826172, 0.35105949640274
[pos], 1366, 938.483642578125, 486.461700439453, 0.42537477612495
[pos], 1383, 945.625183105469, 490.18212890625, 0.51761138439178
[pos], 1400, 952.013244628906, 494.170074462891, 0.59350824356079
[pos], 1416, 959.445434570313, 499.707824707031, 0.68760466575623
[pos], 1433, 965.70166015625, 505.327087402344, 0.77230459451675
[pos], 1449, 970.251098632813, 510.093322753906, 0.83892464637756
[pos], 1466, 976.931762695313, 518.36962890625, 0.94593179225922
[pos], 1483, 981.597595214844, 525.487731933594, 1.03142285346985
[pos], 1499, 985.692077636719, 533.107177734375, 1.11842405796051
[pos], 1516, 989.210388183594, 541.328979492188, 1.2083957195282
[pos], 1533, 991.937683105469, 549.698791503906, 1.29689681529999
