[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 265.609588623047, 512.0, 0.0
[pos], 50, 273.441497802734, 512.0, 0.0
[pos], 66, 280.944061279297, 512.0, 0.0
[pos], 83, 288.692169189453, 512.0, 0.0
[pos], 99, 296.617950439453, 512.0, 0.0
[pos], 116, 304.409088134766, 512.0, 0.0
[pos], 133, 312.498260498047, 512.0, 0.0
[pos], 150, 320.636535644531, 512.0, 0.0
[pos], 166, 328.776397705078, 512.0, 0.0
[pos], 183, 336.779174804688, 512.0, 0.0
[pos], 199, 345.073028564453, 512.0, 0.0
[pos], 216, 353.255279541016, 512.0, 0.0
[pos], 233, 361.832855224609, 512.0, 0.0
[pos], 249, 370.310577392578, 512.0, 0.0
[pos], 266, 378.672454833984, 512.0, 0.0
[pos], 283, 387.402282714844, 512.0, 0.0
[pos], 300, 396.00634765625, 512.0, 0.0
[pos], 316, 404.728088378906, 512.0, 0.0
[pos], 333, 413.537506103516, 512.0, 0.0
[pos], 350, 422.305145263672, 512.0, 0.0
[pos], 366, 431.337829589844, 512.0, 0.0
[pos], 383, 440.218902587891, 512.0, 0.0
[pos], 399, 449.557281494141, 512.0, 0.0
[pos], 416, 458.499267578125, 512.0, 0.0
[pos], 433, 467.876220703125, 512.0, 0.0
[pos], 449, 477.064300537109, 512.0, 0.0
[pos], 466, 486.493316650391, 512.0, 0.0
[pos], 483, 495.891723632813, 512.0, 0.0
[pos], 499, 505.531372070313, 512.0, 0.0
[pos], 516, 514.642639160156, 512.0, 0.0
[pos], 533, 524.304626464844, 512.0, 0.0
[pos], 550, 533.622619628906, 512.0, 0.0
[pos], 566, 543.115844726563, 512.0, 0.0
[pos], 583, 552.214294433594, 512.0, 0.0
[pos], 600, 561.542541503906, 512.0, 0.0
[pos], 616, 570.754943847656, 512.0, 0.0
[pos], 633, 579.787902832031, 512.0, 0.0
[pos], 650, 589.019958496094, 512.0, 0.0
[pos], 666, 597.826416015625, 512.0, 0.0
[pos], 683, 606.841186523438, 512.0, 0.0
[pos], 700, 615.547180175781, 512.0, 0.0
[pos], 716, 624.342407226563, 512.0, 0.0
[pos], 733, 633.213806152344, 512.0, 0.0
[pos], 750, 641.722412109375, 512.0, 0.0
[pos], 766, 650.1455078125, 512.0, 0.0
[pos], 783, 658.989440917969, 512.0, 0.0
[pos], 800, 667.229431152344, 512.0, 0.0
[pos], 816, 675.773315429688, 512.0, 0.0
[pos], 833, 683.818664550781, 512.0, 0.0
[pos], 850, 692.065795898438, 512.0, 0.0
[pos], 866, 700.367797851563, 512.0, 0.0
[pos], 883, 708.215698242188, 512.0, 0.0
[pos], 900, 716.25, 512.0, 0.0
[pos], 916, 724.216857910156, 512.0, 0.0
[pos], 933, 732.162109375, 512.0, 0.0
[pos], 950, 739.942138671875, 512.0, 0.0
[pos], 966, 747.732238769531, 512.0, 0.0
[pos], 983, 755.245056152344, 512.0, 0.0
[pos], 1000, 762.783325195313, 512.0, 0.0
[pos], 1016, 770.489318847656, 512.0, 0.0
[pos], 1033, 777.924133300781, 512.0, 0.0
[pos], 1050, 785.3203125, 512.0, 0.0
[pos], 1066, 792.548217773438, 512.0, 0.0
[pos], 1083, 799.932861328125, 512.0, 0.0
[pos], 1100, 806.937622070313, 512.0, 0.0
[pos], 1116, 814.033142089844, 512.0, 0.0
[pos], 1133, 821.221435546875, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 826.090698242188, 506.972106933594, -0.79446041584015
[pos], 1166, 831.061584472656, 502.25927734375, -0.72478479146957
[pos], 1183, 836.592956542969, 497.719024658203, -0.65209764242172
[pos], 1200, 842.73046875, 493.402679443359, -0.57608449459076
[pos], 1216, 848.6708984375, 489.847961425781, -0.50527369976044
[pos], 1233, 855.457946777344, 486.438690185547, -0.42833617329597
[pos], 1250, 862.243896484375, 483.648651123047, -0.35744202136993
[pos], 1266, 869.451232910156, 481.307830810547, -0.27652451395988
[pos], 1283, 876.912841796875, 479.512939453125, -0.1986461430788
[pos], 1300, 884.490478515625, 478.303741455078, -0.12052366882563
[pos], 1316, 892.232299804688, 477.682708740234, -0.04281221702695
[pos], 1333, 900.04931640625, 477.676879882813, 0.0378956720233
[pos], 1350, 907.801330566406, 478.284942626953, 0.11540569365025
[pos], 1366, 915.280883789063, 479.467163085938, 0.19384387135506
[pos], 1383, 923.263977050781, 481.394134521484, 0.27739489078522
[pos], 1400, 930.669128417969, 483.830871582031, 0.35525384545326
[pos], 1416, 938.607788085938, 487.201324462891, 0.44355237483978
[pos], 1433, 945.741333007813, 490.970397949219, 0.52568829059601
[pos], 1449, 952.704162597656, 495.423522949219, 0.60931724309921
[pos], 1466, 959.377624511719, 500.538055419922, 0.69507741928101
[pos], 1483, 965.514282226563, 506.126037597656, 0.77850615978241
[pos], 1499, 971.336364746094, 512.415222167969, 0.86582124233246
[pos], 1516, 976.476745605469, 519.029968261719, 0.95050269365311
[pos], 1533, 981.283874511719, 526.469848632813, 1.04120802879334
[pos], 1549, 985.3818359375, 534.265869140625, 1.12832117080688
[pos], 1566, 988.730895996094, 542.2890625, 1.21805822849274
[pos], 1583, 991.404846191406, 550.752014160156, 1.30851137638092
[pos], 1599, 993.304016113281, 559.386840820313, 1.39552533626556
[pos], 1616, 994.415222167969, 568.089172363281, 1.48580801486969
[pos], 1633, 994.746215820313, 577.385559082031, 1.58094418048859
[pos], 1649, 994.231323242188, 586.365600585938, 1.67204594612122
[pos], 1666, 992.8310546875, 595.621276855469, 1.76670396327972
[pos], 1683, 990.622436523438, 604.495666503906, 1.8594411611557
[pos], 1699, 987.574584960938, 613.207336425781, 1.95165610313416
[pos], 1716, 983.593627929688, 621.846008300781, 2.04822468757629
[pos], 1733, 978.9482421875, 629.841369628906, 2.14257860183716
[pos], 1749, 973.453186035156, 637.529113769531, 2.23632121086121
[pos], 1766, 967.138305664063, 644.7744140625, 2.33429503440857
[pos], 1783, 959.966613769531, 651.523498535156, 2.43408584594727
[pos], 1799, 952.336547851563, 657.404235839844, 2.53167939186096
[pos], 1816, 943.818725585938, 662.713317871094, 2.63339686393738
[pos], 1833, 935.097900390625, 667.010009765625, 2.73162364959717
[pos], 1849, 925.854736328125, 670.472045898438, 2.83093214035034
[pos], 1866, 916.043701171875, 673.054077148438, 2.93320107460022
[pos], 1883, 906.288635253906, 674.59375, 3.03017425537109
[pos], 1899, 896.178466796875, 675.156494140625, 3.13455319404602
[pos], 1916, 885.643737792969, 674.64453125, 3.24188184738159
[pos], 1933, 875.630798339844, 673.100830078125, 3.3440523147583
[pos], 1949, 865.620727539063, 670.482238769531, 3.44787812232971
[pos], 1966, 855.671875, 666.712036132813, 3.55540728569031
[pos], 1983, 846.297302246094, 661.968078613281, 3.65999913215637
[pos], 1999, 837.707702636719, 656.430236816406, 3.76304626464844
[pos], 2016, 829.200378417969, 649.557434082031, 3.87414860725403
[pos], 2033, 821.901245117188, 642.242492675781, 3.9783923625946
[pos], 2049, 814.977600097656, 633.629150390625, 4.08697128295898
[pos], 2066, 809.074279785156, 624.333618164063, 4.20009899139404
[pos], 2083, 804.346984863281, 614.69775390625, 4.30784177780151
[pos], 2099, 800.634704589844, 604.462646484375, 4.41695070266724
[pos], 2116, 798.022399902344, 593.643737792969, 4.52405118942261
[pos], 2133, 796.622436523438, 582.703430175781, 4.62723398208618
[pos], 2149, 796.453002929688, 571.717529296875, 4.75041246414185
[pos], 2166, 797.577087402344, 560.241577148438, 4.86570930480957
[pos], 2183, 799.929138183594, 549.287231445313, 4.97878217697144
[pos], 2199, 803.57177734375, 538.479309082031, 5.09245014190674
[pos], 2216, 808.353942871094, 528.291137695313, 5.20106267929077
[pos], 2233, 814.553161621094, 518.277160644531, 5.32420349121094
[pos], 2249, 821.838317871094, 509.119689941406, 5.44116878509521
[pos], 2266, 830.185974121094, 500.845367431641, 5.55866718292236
[pos], 2283, 839.3203125, 493.694091796875, 5.67502737045288
[pos], 2299, 849.137817382813, 487.685241699219, 5.78968000411987
[pos], 2316, 859.442687988281, 482.906494140625, 5.90022945404053
[pos], 2333, 870.986267089844, 479.115783691406, 6.02552652359009
[pos], 2349, 882.564697265625, 476.804534912109, 6.14282083511353
[pos], 2366, 894.157043457031, 475.877166748047, 6.25968456268311
[sad], 2366, detach, 0.55666666666667
[as], 2366, 0.97773742675781
[pos], 2383, 905.498229980469, 476.186950683594, 6.33245372772217
[pos], 2399, 917.132080078125, 476.760528564453, 6.33245372772217
[pos], 2416, 928.705810546875, 477.331207275391, 6.33245372772217
[pos], 2433, 940.690795898438, 477.922119140625, 6.33245372772217
[pos], 2449, 952.465209960938, 478.502777099609, 6.33245372772217
[pos], 2466, 963.832641601563, 479.063293457031, 6.33245372772217
[pos], 2483, 975.71337890625, 479.649078369141, 6.33245372772217
[pos], 2499, 986.967590332031, 480.203948974609, 6.33245372772217
[pos], 2516, 998.573486328125, 480.776214599609, 6.33245372772217
[pos], 2533, 1010.25915527344, 481.352416992188, 6.33245372772217
