[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 320.328369140625, 512.0, 0.0
[pos], 166, 328.053192138672, 512.0, 0.0
[pos], 183, 337.756195068359, 512.0, 0.0
[pos], 199, 337.756195068359, 512.0, 0.0
[pos], 216, 354.226348876953, 512.0, 0.0
[pos], 233, 363.856567382813, 512.0, 0.0
[pos], 249, 370.238525390625, 512.0, 0.0
[pos], 266, 380.152038574219, 512.0, 0.0
[pos], 283, 388.190063476563, 512.0, 0.0
[pos], 300, 398.3369140625, 512.0, 0.0
[pos], 316, 406.929779052734, 512.0, 0.0
[pos], 333, 415.528900146484, 512.0, 0.0
[pos], 350, 424.467132568359, 512.0, 0.0
[pos], 366, 433.508697509766, 512.0, 0.0
[pos], 383, 442.557159423828, 512.0, 0.0
[pos], 399, 451.515777587891, 512.0, 0.0
[pos], 416, 460.761962890625, 512.0, 0.0
[pos], 433, 469.958465576172, 512.0, 0.0
[pos], 449, 479.505615234375, 512.0, 0.0
[pos], 466, 489.117065429688, 512.0, 0.0
[pos], 483, 498.060363769531, 512.0, 0.0
[pos], 499, 507.640655517578, 512.0, 0.0
[pos], 516, 516.432373046875, 512.0, 0.0
[pos], 533, 525.139770507813, 512.0, 0.0
[pos], 550, 535.039245605469, 512.0, 0.0
[pos], 566, 544.546752929688, 512.0, 0.0
[pos], 583, 554.29248046875, 512.0, 0.0
[pos], 600, 563.581420898438, 512.0, 0.0
[pos], 616, 572.945251464844, 512.0, 0.0
[pos], 633, 581.320861816406, 512.0, 0.0
[pos], 650, 590.281982421875, 512.0, 0.0
[pos], 666, 599.391845703125, 512.0, 0.0
[pos], 683, 608.323364257813, 512.0, 0.0
[pos], 700, 617.648254394531, 512.0, 0.0
[pos], 716, 626.562744140625, 512.0, 0.0
[pos], 733, 634.462707519531, 512.0, 0.0
[pos], 750, 643.260375976563, 512.0, 0.0
[pos], 766, 651.849365234375, 512.0, 0.0
[pos], 783, 660.446655273438, 512.0, 0.0
[pos], 800, 668.944030761719, 512.0, 0.0
[pos], 816, 677.29248046875, 512.0, 0.0
[pos], 833, 685.688842773438, 512.0, 0.0
[pos], 850, 694.019653320313, 512.0, 0.0
[pos], 866, 702.249816894531, 512.0, 0.0
[pos], 883, 710.33056640625, 512.0, 0.0
[pos], 900, 718.410583496094, 512.0, 0.0
[pos], 916, 726.350708007813, 512.0, 0.0
[pos], 933, 733.675048828125, 512.0, 0.0
[pos], 950, 741.655029296875, 512.0, 0.0
[pos], 966, 749.386535644531, 512.0, 0.0
[pos], 983, 757.114440917969, 512.0, 0.0
[pos], 1000, 764.858093261719, 512.0, 0.0
[pos], 1016, 772.490783691406, 512.0, 0.0
[pos], 1033, 779.380615234375, 512.0, 0.0
[pos], 1050, 786.815490722656, 512.0, 0.0
[pos], 1066, 794.309020996094, 512.0, 0.0
[pos], 1083, 801.786254882813, 512.0, 0.0
[pos], 1100, 808.946411132813, 512.0, 0.0
[pos], 1116, 816.182983398438, 512.0, 0.0
[pos], 1133, 822.682800292969, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 827.672119140625, 507.313385009766, -0.78920477628708
[pos], 1166, 832.997680664063, 502.365081787109, -0.71436750888824
[pos], 1183, 838.687438964844, 497.823944091797, -0.6392770409584
[pos], 1200, 844.830810546875, 493.641174316406, -0.56276053190231
[pos], 1216, 850.88525390625, 490.146240234375, -0.48967584967613
[pos], 1233, 857.883850097656, 486.787506103516, -0.41156676411629
[pos], 1250, 864.357849121094, 484.264953613281, -0.33912938833237
[pos], 1266, 871.956665039063, 481.956298828125, -0.2576476931572
[pos], 1283, 879.354553222656, 480.339263916016, -0.18088008463383
[pos], 1300, 886.840209960938, 479.305236816406, -0.10235238820314
[pos], 1316, 894.503295898438, 478.853485107422, -0.02408362179995
[pos], 1333, 902.363891601563, 479.018615722656, 0.05774372071028
[pos], 1350, 910.011596679688, 479.794525146484, 0.13685148954391
[pos], 1366, 917.948608398438, 481.254852294922, 0.21758098900318
[pos], 1383, 925.5517578125, 483.310729980469, 0.30082672834396
[pos], 1400, 933.1064453125, 486.032348632813, 0.38283601403236
[pos], 1416, 940.597839355469, 489.46142578125, 0.46776142716408
[pos], 1433, 947.654235839844, 493.439025878906, 0.55066525936127
[pos], 1449, 954.536682128906, 498.12255859375, 0.63547873497009
[pos], 1466, 960.934936523438, 503.324615478516, 0.72106969356537
[pos], 1483, 966.874938964844, 509.053497314453, 0.80572891235352
[pos], 1499, 972.450317382813, 515.438537597656, 0.89150905609131
[pos], 1516, 977.873168945313, 522.925354003906, 0.98727160692215
[pos], 1533, 981.8779296875, 529.611633300781, 1.06601822376251
[pos], 1549, 986.019897460938, 538.164001464844, 1.16444420814514
