[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 320.442932128906, 512.0, 0.0
[pos], 166, 327.316589355469, 512.0, 0.0
[pos], 183, 327.316589355469, 512.0, 0.0
[pos], 199, 345.010192871094, 512.0, 0.0
[pos], 216, 353.195343017578, 512.0, 0.0
[pos], 233, 361.857116699219, 512.0, 0.0
[pos], 249, 370.179565429688, 512.0, 0.0
[pos], 266, 378.320281982422, 512.0, 0.0
[pos], 283, 387.221771240234, 512.0, 0.0
[pos], 300, 396.05712890625, 512.0, 0.0
[pos], 316, 404.608917236328, 512.0, 0.0
[pos], 333, 413.523223876953, 512.0, 0.0
[pos], 350, 422.071716308594, 512.0, 0.0
[pos], 366, 431.150299072266, 512.0, 0.0
[pos], 383, 440.315765380859, 512.0, 0.0
[pos], 399, 449.325042724609, 512.0, 0.0
[pos], 416, 458.315246582031, 512.0, 0.0
[pos], 433, 467.415405273438, 512.0, 0.0
[pos], 449, 477.054992675781, 512.0, 0.0
[pos], 466, 486.170562744141, 512.0, 0.0
[pos], 483, 495.732147216797, 512.0, 0.0
[pos], 499, 505.179626464844, 512.0, 0.0
[pos], 516, 514.265197753906, 512.0, 0.0
[pos], 533, 523.696838378906, 512.0, 0.0
[pos], 550, 533.121765136719, 512.0, 0.0
[pos], 566, 542.507690429688, 512.0, 0.0
[pos], 583, 552.040466308594, 512.0, 0.0
[pos], 600, 561.029113769531, 512.0, 0.0
[pos], 616, 570.424011230469, 512.0, 0.0
[pos], 633, 579.491821289063, 512.0, 0.0
[pos], 650, 588.768310546875, 512.0, 0.0
[pos], 666, 597.69384765625, 512.0, 0.0
[pos], 683, 606.368286132813, 512.0, 0.0
[pos], 700, 615.468444824219, 512.0, 0.0
[pos], 716, 624.318176269531, 512.0, 0.0
[pos], 733, 632.91357421875, 512.0, 0.0
[pos], 750, 641.59765625, 512.0, 0.0
[pos], 766, 650.064819335938, 512.0, 0.0
[pos], 783, 658.579162597656, 512.0, 0.0
[pos], 800, 667.029724121094, 512.0, 0.0
[pos], 816, 675.461547851563, 512.0, 0.0
[pos], 833, 683.766052246094, 512.0, 0.0
[pos], 850, 691.737854003906, 512.0, 0.0
[pos], 866, 700.237854003906, 512.0, 0.0
[pos], 883, 708.187133789063, 512.0, 0.0
[pos], 900, 716.31689453125, 512.0, 0.0
[pos], 916, 724.230102539063, 512.0, 0.0
[pos], 933, 731.859924316406, 512.0, 0.0
[pos], 950, 739.860046386719, 512.0, 0.0
[pos], 966, 747.6611328125, 512.0, 0.0
[pos], 983, 755.335754394531, 512.0, 0.0
[pos], 1000, 763.009216308594, 512.0, 0.0
[pos], 1016, 770.284851074219, 512.0, 0.0
[pos], 1033, 777.99755859375, 512.0, 0.0
[pos], 1050, 785.233581542969, 512.0, 0.0
[pos], 1066, 792.564147949219, 512.0, 0.0
[pos], 1083, 799.802307128906, 512.0, 0.0
[pos], 1100, 806.90283203125, 512.0, 0.0
[pos], 1116, 814.261047363281, 512.0, 0.0
[pos], 1133, 821.252197265625, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 826.146606445313, 506.866424560547, -0.79250103235245
[pos], 1166, 831.225219726563, 502.074798583984, -0.7215855717659
[pos], 1183, 836.663635253906, 497.630920410156, -0.65046989917755
[pos], 1200, 842.744934082031, 493.365417480469, -0.57461392879486
[pos], 1216, 849.085510253906, 489.596496582031, -0.49959883093834
[pos], 1233, 855.567565917969, 486.369110107422, -0.42651888728142
[pos], 1250, 862.503845214844, 483.542083740234, -0.34989178180695
[pos], 1266, 869.630676269531, 481.252258300781, -0.27414220571518
[pos], 1283, 877.168273925781, 479.458343505859, -0.19492247700691
[pos], 1300, 884.648132324219, 478.284759521484, -0.11802315711975
[pos], 1316, 892.423583984375, 477.680999755859, -0.03873065114021
[pos], 1333, 900.203002929688, 477.694305419922, 0.04041768610477
[pos], 1350, 907.995666503906, 478.326873779297, 0.11943757534027
[pos], 1366, 915.901977539063, 479.613342285156, 0.20131701231003
[pos], 1383, 923.770812988281, 481.566345214844, 0.28359439969063
[pos], 1400, 931.371215820313, 484.129211425781, 0.36508205533028
[pos], 1416, 938.814575195313, 487.338806152344, 0.44685995578766
[pos], 1433, 945.964599609375, 491.1474609375, 0.52943021059036
[pos], 1449, 953.054321289063, 495.723327636719, 0.61534732580185
[pos], 1466, 959.722290039063, 500.889190673828, 0.70040410757065
[pos], 1483, 965.879638671875, 506.560852050781, 0.78515511751175
[pos], 1499, 971.645690917969, 512.868347167969, 0.87271255254745
[pos], 1516, 976.707641601563, 519.459655761719, 0.95660400390625
[pos], 1533, 981.532775878906, 527.033142089844, 1.04822301864624
[pos], 1549, 985.5498046875, 534.799499511719, 1.13638210296631
