[elsc], 0, aries_test.tscn, start
[pos], 16, 260.931701660156, 512.0, 0.0
[pos], 33, 268.240478515625, 512.0, 0.0
[pos], 50, 275.740570068359, 512.0, 0.0
[pos], 66, 283.308288574219, 512.0, 0.0
[pos], 83, 291.688201904297, 512.0, 0.0
[pos], 99, 299.408782958984, 512.0, 0.0
[pos], 116, 307.192047119141, 512.0, 0.0
[pos], 133, 315.026763916016, 512.0, 0.0
[pos], 150, 323.051177978516, 512.0, 0.0
[pos], 166, 331.682067871094, 512.0, 0.0
[pos], 183, 339.752014160156, 512.0, 0.0
[pos], 199, 347.846221923828, 512.0, 0.0
[pos], 216, 356.020446777344, 512.0, 0.0
[pos], 233, 364.285095214844, 512.0, 0.0
[pos], 249, 373.355743408203, 512.0, 0.0
[pos], 266, 381.809875488281, 512.0, 0.0
[pos], 283, 390.306427001953, 512.0, 0.0
[pos], 300, 398.811248779297, 512.0, 0.0
[pos], 316, 407.454803466797, 512.0, 0.0
[pos], 333, 416.931396484375, 512.0, 0.0
[pos], 350, 425.783721923828, 512.0, 0.0
[pos], 366, 434.560333251953, 512.0, 0.0
[pos], 383, 443.455749511719, 512.0, 0.0
[pos], 399, 452.383819580078, 512.0, 0.0
[pos], 416, 461.404571533203, 512.0, 0.0
[pos], 433, 471.275451660156, 512.0, 0.0
[pos], 449, 480.456451416016, 512.0, 0.0
[pos], 466, 489.733123779297, 512.0, 0.0
[pos], 483, 499.020080566406, 512.0, 0.0
[pos], 499, 508.349365234375, 512.0, 0.0
[pos], 516, 517.75048828125, 512.0, 0.0
[pos], 533, 527.044616699219, 512.0, 0.0
[pos], 550, 536.294372558594, 512.0, 0.0
[pos], 566, 545.511108398438, 512.0, 0.0
[pos], 583, 554.777099609375, 512.0, 0.0
[pos], 600, 564.66259765625, 512.0, 0.0
[pos], 616, 573.665710449219, 512.0, 0.0
[pos], 633, 582.581726074219, 512.0, 0.0
[pos], 650, 591.497314453125, 512.0, 0.0
[pos], 666, 600.192626953125, 512.0, 0.0
[pos], 683, 609.765441894531, 512.0, 0.0
[pos], 700, 618.426025390625, 512.0, 0.0
[pos], 716, 627.017517089844, 512.0, 0.0
[pos], 733, 635.524841308594, 512.0, 0.0
[pos], 750, 643.966064453125, 512.0, 0.0
[pos], 766, 653.173522949219, 512.0, 0.0
[pos], 783, 661.494750976563, 512.0, 0.0
[pos], 800, 669.717956542969, 512.0, 0.0
[pos], 816, 677.927307128906, 512.0, 0.0
[pos], 833, 686.222229003906, 512.0, 0.0
[pos], 850, 694.275390625, 512.0, 0.0
[pos], 866, 702.928405761719, 512.0, 0.0
[pos], 883, 710.831237792969, 512.0, 0.0
[pos], 900, 718.643432617188, 512.0, 0.0
[pos], 916, 726.380187988281, 512.0, 0.0
[pos], 933, 734.724609375, 512.0, 0.0
[pos], 950, 742.327941894531, 512.0, 0.0
[pos], 966, 749.8818359375, 512.0, 0.0
[pos], 983, 757.332092285156, 512.0, 0.0
[pos], 1000, 765.412353515625, 512.0, 0.0
[pos], 1016, 772.760498046875, 512.0, 0.0
[pos], 1033, 780.028076171875, 512.0, 0.0
[pos], 1050, 787.224914550781, 512.0, 0.0
[pos], 1066, 794.958862304688, 512.0, 0.0
[pos], 1083, 802.031799316406, 512.0, 0.0
[pos], 1100, 809.049621582031, 512.0, 0.0
[pos], 1116, 816.057250976563, 512.0, 0.0
[pos], 1133, 822.919982910156, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 828.254821777344, 506.988708496094, -0.7825835943222
[pos], 1166, 833.333801269531, 502.316558837891, -0.71138626337051
[pos], 1183, 838.895751953125, 497.897552490234, -0.63796579837799
[pos], 1200, 844.808227539063, 493.872406005859, -0.56416112184525
[pos], 1216, 851.124450683594, 490.229553222656, -0.48895418643951
[pos], 1233, 857.714660644531, 487.064758300781, -0.41332158446312
[pos], 1250, 864.56689453125, 484.391479492188, -0.33741191029549
[pos], 1266, 871.74658203125, 482.207366943359, -0.26013416051865
[pos], 1283, 879.213195800781, 480.559967041016, -0.18126800656319
[pos], 1300, 886.848754882813, 479.499938964844, -0.10180171579123
[pos], 1316, 894.636596679688, 479.048034667969, -0.0215178579092
[pos], 1333, 902.508422851563, 479.227996826172, 0.05976804345846
[pos], 1350, 909.760131835938, 479.962738037109, 0.13491912186146
[pos], 1366, 917.654846191406, 481.398620605469, 0.21751007437706
[pos], 1383, 925.459838867188, 483.499114990234, 0.30074638128281
[pos], 1400, 933.129089355469, 486.268310546875, 0.38455036282539
[pos], 1416, 940.609985351563, 489.707061767578, 0.46944174170494
[pos], 1433, 947.813659667969, 493.792358398438, 0.55472671985626
[pos], 1449, 954.708251953125, 498.524505615234, 0.64063370227814
[pos], 1466, 960.672058105469, 503.387573242188, 0.71973639726639
[pos], 1483, 966.809387207031, 509.308929443359, 0.80734777450562
[pos], 1499, 972.437744140625, 515.786743164063, 0.8953657746315
[pos], 1516, 977.497619628906, 522.771545410156, 0.98414665460587
[pos], 1533, 981.962585449219, 530.256530761719, 1.07370781898499
[pos], 1549, 985.75634765625, 538.147705078125, 1.16358661651611
[pos], 1566, 988.858215332031, 546.44482421875, 1.25442218780518
[pos], 1583, 991.02490234375, 554.251770019531, 1.33753228187561
[pos], 1599, 992.656433105469, 563.056030273438, 1.42939364910126
[pos], 1616, 993.481506347656, 572.133361816406, 1.5227735042572
[pos], 1633, 993.455627441406, 581.249938964844, 1.61618483066559
[pos], 1649, 992.549987792969, 590.532897949219, 1.71162581443787
[pos], 1666, 990.780639648438, 599.611450195313, 1.8062881231308
[pos], 1683, 988.128112792969, 608.576843261719, 1.90198230743408
[pos], 1699, 984.955139160156, 616.536010742188, 1.98966646194458
[pos], 1716, 980.653564453125, 624.970458984375, 2.08642816543579
[pos], 1733, 975.529968261719, 632.9873046875, 2.18361616134644
[pos], 1749, 969.497741699219, 640.647644042969, 2.28206849098206
[pos], 1766, 962.76904296875, 647.635864257813, 2.38250803947449
[pos], 1783, 955.306884765625, 653.982238769531, 2.48231983184814
[pos], 1799, 947.928100585938, 659.127014160156, 2.57392883300781
[pos], 1816, 939.253784179688, 664.004333496094, 2.6750864982605
[pos], 1833, 930.107421875, 667.98583984375, 2.77730011940002
[pos], 1849, 920.298522949219, 671.099792480469, 2.88208556175232
[pos], 1866, 910.392456054688, 673.141967773438, 2.98515677452087
[pos], 1883, 901.207641601563, 674.107788085938, 3.07931923866272
[pos], 1899, 890.9677734375, 674.16552734375, 3.18333506584167
[pos], 1916, 880.663452148438, 673.140869140625, 3.28841805458069
[pos], 1933, 870.455261230469, 671.020629882813, 3.39458823204041
[pos], 1949, 860.474609375, 667.811828613281, 3.50106596946716
[pos], 1966, 850.87744140625, 663.552551269531, 3.60783696174622
[pos], 1983, 841.665222167969, 658.216552734375, 3.71554589271545
[pos], 1999, 833.825500488281, 652.521667480469, 3.81406188011169
[pos], 2016, 825.840881347656, 645.349975585938, 3.92301464080811
[pos], 2033, 818.614501953125, 637.269165039063, 4.03277206420898
[pos], 2049, 812.298950195313, 628.414855957031, 4.1430811882019
[pos], 2066, 806.961547851563, 618.851440429688, 4.253746509552
[pos], 2083, 802.685241699219, 608.673217773438, 4.3654580116272
[pos], 2099, 799.557495117188, 598.027893066406, 4.47797966003418
[pos], 2116, 797.741760253906, 587.92626953125, 4.58140516281128
[pos], 2133, 796.965026855469, 576.708740234375, 4.69494867324829
[pos], 2149, 797.474304199219, 565.377868652344, 4.80948972702026
[pos], 2166, 799.273315429688, 554.188171386719, 4.92356586456299
[pos], 2183, 802.412231445313, 543.055786132813, 5.04051303863525
[pos], 2199, 806.770385742188, 532.480102539063, 5.1558051109314
[pos], 2216, 812.41552734375, 522.317077636719, 5.27269220352173
[pos], 2233, 818.553771972656, 513.698181152344, 5.37919521331787
[pos], 2249, 826.385986328125, 504.965759277344, 5.49714803695679
[pos], 2266, 835.285888671875, 497.142181396484, 5.61569786071777
[pos], 2283, 844.931945800781, 490.505645751953, 5.73412656784058
[sad], 2283, detach, 0.54
[as], 2283, 0.96189785003662
[pos], 2299, 855.46826171875, 484.952239990234, 5.84260129928589
[pos], 2316, 866.186889648438, 479.8984375, 5.84260129928589
[pos], 2333, 876.814392089844, 474.8876953125, 5.84260129928589
[pos], 2349, 887.458984375, 469.868804931641, 5.84260129928589
[pos], 2366, 897.304504394531, 465.226745605469, 5.84260129928589
[pos], 2383, 907.997192382813, 460.185211181641, 5.84260129928589
[pos], 2399, 918.6923828125, 455.142547607422, 5.84260129928589
[pos], 2416, 929.282470703125, 450.149383544922, 5.84260129928589
[pos], 2433, 939.953002929688, 445.118286132813, 5.84260129928589
[pos], 2449, 950.631103515625, 440.083618164063, 5.84260129928589
[pos], 2466, 961.281433105469, 435.062072753906, 5.84260129928589
[pos], 2483, 971.8935546875, 430.058471679688, 5.84260129928589
[pos], 2499, 981.608032226563, 425.478210449219, 5.84260129928589
[pos], 2516, 992.270935058594, 420.450714111328, 5.84260129928589
[pos], 2533, 1002.91485595703, 415.432189941406, 5.84260129928589
[pos], 2549, 1013.52777099609, 410.428253173828, 5.84260129928589
[pos], 2566, 1024.14379882813, 405.422821044922, 5.84260129928589
[pos], 2583, 1034.859375, 400.370544433594, 5.84260129928589
[pos], 2599, 1045.466796875, 395.369323730469, 5.84260129928589
[pos], 2616, 1056.08093261719, 390.36474609375, 5.84260129928589
[pos], 2633, 1066.79577636719, 385.451141357422, 5.88118648529053
[pos], 2649, 1077.79650878906, 381.357421875, 5.96505069732666
[pos], 2666, 1088.07263183594, 378.445098876953, 6.04135990142822
[pos], 2683, 1099.62683105469, 376.151977539063, 6.12552404403687
[pos], 2699, 1111.375, 374.835571289063, 6.20998954772949
[pos], 2716, 1123.16357421875, 374.514465332031, 6.29424953460693
[pos], 2733, 1134.93103027344, 375.185913085938, 6.3784646987915
[pos], 2749, 1146.57788085938, 376.840606689453, 6.46251487731934
[pos], 2766, 1158.08654785156, 379.478759765625, 6.546875
[pos], 2783, 1169.33435058594, 383.068298339844, 6.62307500839233
[pos], 2799, 1180.34655761719, 386.962249755859, 6.62307500839233
[pos], 2816, 1190.48083496094, 390.545867919922, 6.62307500839233
[pos], 2833, 1201.70544433594, 394.514953613281, 6.62307500839233
[pos], 2849, 1212.79931640625, 398.437896728516, 6.62307500839233
[pos], 2866, 1224.11938476563, 402.440826416016, 6.62307500839233
[pos], 2883, 1235.30834960938, 406.397308349609, 6.62307500839233
[pos], 2899, 1246.34228515625, 410.298980712891, 6.62307500839233
[pos], 2916, 1257.45715332031, 414.229370117188, 6.62307500839233
[pos], 2933, 1267.55493164063, 417.800140380859, 6.62307500839233
[pos], 2949, 1278.65393066406, 421.724914550781, 6.62307500839233
[pos], 2966, 1289.72204589844, 425.638732910156, 6.62307500839233
[pos], 2983, 1300.77819824219, 429.548370361328, 6.62307500839233
[pos], 2999, 1311.82250976563, 433.453826904297, 6.62307500839233
[pos], 3016, 1322.93542480469, 437.383544921875, 6.62307500839233
[pos], 3033, 1334.037109375, 441.309295654297, 6.62307500839233
[pos], 3049, 1345.11108398438, 445.225219726563, 6.62307500839233
[pos], 3066, 1356.23657226563, 449.159332275391, 6.62307500839233
[pos], 3083, 1367.36743164063, 453.095367431641, 6.62307500839233
[pos], 3099, 1377.43188476563, 456.654235839844, 6.62307500839233
[pos], 3116, 1388.73400878906, 460.074615478516, 6.53870487213135
[pos], 3133, 1400.24963378906, 462.524688720703, 6.45458507537842
[pos], 3149, 1411.94567871094, 463.999755859375, 6.3703556060791
[pos], 3166, 1423.6572265625, 464.485961914063, 6.2866063117981
[pos], 3183, 1435.380859375, 463.989685058594, 6.20276689529419
[pos], 3199, 1447.07336425781, 462.504302978516, 6.11855220794678
[pos], 3216, 1458.57800292969, 460.04638671875, 6.03449773788452
[pos], 3233, 1469.83166503906, 456.632690429688, 5.95047330856323
[pos], 3249, 1480.88952636719, 452.256805419922, 5.8814582824707
[pos], 3266, 1490.77197265625, 448.058441162109, 5.8814582824707
[pos], 3283, 1501.62084960938, 443.449523925781, 5.8814582824707
[pos], 3299, 1512.42834472656, 438.858062744141, 5.8814582824707
[pos], 3316, 1523.24755859375, 434.261749267578, 5.8814582824707
[pos], 3333, 1534.04479980469, 429.674682617188, 5.8814582824707
[pos], 3349, 1544.85205078125, 425.083557128906, 5.8814582824707
[pos], 3366, 1555.806640625, 420.429718017578, 5.8814582824707
[pos], 3383, 1566.75024414063, 415.780548095703, 5.8814582824707
[pos], 3399, 1576.65270996094, 411.573699951172, 5.8814582824707
[pos], 3416, 1587.53503417969, 406.950531005859, 5.8814582824707
[pos], 3433, 1598.39233398438, 402.338012695313, 5.8814582824707
[pos], 3449, 1609.32702636719, 397.692718505859, 5.8814582824707
[pos], 3466, 1620.22045898438, 393.064880371094, 5.8814582824707
[pos], 3483, 1631.02941894531, 388.472900390625, 5.8814582824707
[pos], 3499, 1641.83081054688, 383.884216308594, 5.8814582824707
[pos], 3516, 1652.67443847656, 379.277465820313, 5.8814582824707
[pos], 3533, 1662.62329101563, 375.050872802734, 5.8814582824707
[pos], 3549, 1673.47277832031, 370.441680908203, 5.8814582824707
[pos], 3566, 1684.27587890625, 365.852142333984, 5.8814582824707
[pos], 3583, 1695.05505371094, 361.272796630859, 5.8814582824707
[pos], 3599, 1705.87744140625, 356.675109863281, 5.8814582824707
[pos], 3616, 1716.69616699219, 352.079040527344, 5.8814582824707
[pos], 3633, 1727.48083496094, 347.497467041016, 5.8814582824707
[pos], 3649, 1738.30737304688, 342.898101806641, 5.8814582824707
[pos], 3666, 1749.16394042969, 338.285888671875, 5.8814582824707
[pos], 3683, 1759.99548339844, 333.684387207031, 5.8814582824707
