[elsc], 0, aries_test.tscn, start
[pos], 16, 256.0, 512.0, 0.0
[pos], 33, 267.513885498047, 512.0, 0.0
[pos], 50, 275.287658691406, 512.0, 0.0
[pos], 66, 282.781799316406, 512.0, 0.0
[pos], 83, 290.669250488281, 512.0, 0.0
[pos], 99, 298.46337890625, 512.0, 0.0
[pos], 116, 306.408630371094, 512.0, 0.0
[pos], 133, 314.289947509766, 512.0, 0.0
[pos], 150, 322.331604003906, 512.0, 0.0
[pos], 166, 330.632110595703, 512.0, 0.0
[pos], 183, 338.729644775391, 512.0, 0.0
[pos], 199, 347.159423828125, 512.0, 0.0
[pos], 216, 355.362121582031, 512.0, 0.0
[pos], 233, 363.704956054688, 512.0, 0.0
[pos], 249, 372.158111572266, 512.0, 0.0
[pos], 266, 380.792724609375, 512.0, 0.0
[pos], 283, 389.402984619141, 512.0, 0.0
[pos], 300, 398.046142578125, 512.0, 0.0
[pos], 316, 406.7802734375, 512.0, 0.0
[pos], 333, 415.573974609375, 512.0, 0.0
[pos], 350, 424.450134277344, 512.0, 0.0
[pos], 366, 433.704711914063, 512.0, 0.0
[pos], 383, 442.714050292969, 512.0, 0.0
[pos], 399, 451.771057128906, 512.0, 0.0
[pos], 416, 460.863800048828, 512.0, 0.0
[pos], 433, 470.141052246094, 512.0, 0.0
[pos], 449, 479.363952636719, 512.0, 0.0
[pos], 466, 488.766815185547, 512.0, 0.0
[pos], 483, 498.258178710938, 512.0, 0.0
[pos], 499, 507.734344482422, 512.0, 0.0
[pos], 516, 516.881225585938, 512.0, 0.0
[pos], 533, 526.385803222656, 512.0, 0.0
[pos], 550, 535.749328613281, 512.0, 0.0
[pos], 566, 545.162292480469, 512.0, 0.0
[pos], 583, 554.478210449219, 512.0, 0.0
[pos], 600, 563.876159667969, 512.0, 0.0
[pos], 616, 573.321044921875, 512.0, 0.0
[pos], 633, 582.850219726563, 512.0, 0.0
[pos], 650, 592.428833007813, 512.0, 0.0
[pos], 666, 602.064086914063, 512.007446289063, 0.00978999957442
[pos], 683, 611.792358398438, 512.525268554688, 0.09308999031782
[pos], 700, 621.720703125, 513.898376464844, 0.17818000912666
[pos], 716, 631.468078613281, 516.09912109375, 0.26241001486778
[pos], 733, 640.940551757813, 519.088745117188, 0.34555006027222
[pos], 750, 649.858337402344, 522.726623535156, 0.42561501264572
[pos], 766, 659.205932617188, 527.483947753906, 0.51221007108688
[pos], 783, 667.83837890625, 532.843383789063, 0.59551507234573
[pos], 800, 675.947631835938, 538.818786621094, 0.65611511468887
[pos], 816, 684.099914550781, 545.095153808594, 0.65611511468887
[pos], 833, 692.268859863281, 551.384338378906, 0.65611511468887
[pos], 850, 700.52734375, 557.742309570313, 0.65611511468887
[pos], 866, 709.125671386719, 564.362060546875, 0.65611511468887
[pos], 883, 717.46044921875, 570.779174804688, 0.65611511468887
[pos], 900, 725.844177246094, 577.233703613281, 0.65611511468887
[pos], 916, 734.299499511719, 583.743530273438, 0.65611511468887
[pos], 933, 742.811279296875, 590.296813964844, 0.65611511468887
[pos], 950, 751.393859863281, 596.904479980469, 0.65611511468887
[pos], 966, 760.138549804688, 603.636962890625, 0.65611511468887
[pos], 983, 768.8154296875, 610.3173828125, 0.65611511468887
[pos], 1000, 777.536315917969, 617.031616210938, 0.65611511468887
[pos], 1016, 786.309936523438, 623.786560058594, 0.65611511468887
[pos], 1033, 795.334350585938, 630.337646484375, 0.58946514129639
[pos], 1050, 804.964111328125, 636.189880371094, 0.50616526603699
[pos], 1066, 815.124450683594, 641.25830078125, 0.42274528741837
[pos], 1083, 825.750122070313, 645.493041992188, 0.33922028541565
[sad], 1083, attach, 0.325
[pos], 1100, 834.630310058594, 653.234497070313, 0.67599445581436
[pos], 1116, 843.829162597656, 659.755432128906, 0.56176257133484
[pos], 1133, 853.898193359375, 665.273620605469, 0.4454639852047
[pos], 1150, 864.70166015625, 669.640625, 0.32715982198715
[pos], 1166, 876.277526855469, 672.772827148438, 0.20572648942471
[pos], 1183, 887.527160644531, 674.427551269531, 0.09066703170538
[pos], 1200, 899.179626464844, 674.77001953125, -0.0274420119822
[pos], 1216, 910.898559570313, 673.722961425781, -0.14610838890076
[pos], 1233, 922.396606445313, 671.294799804688, -0.26519107818604
[pos], 1250, 933.568725585938, 667.502136230469, -0.38456699252129
[pos], 1266, 943.786865234375, 662.639221191406, -0.49894025921822
[pos], 1283, 953.776428222656, 656.361206054688, -0.61838680505753
[pos], 1300, 962.914367675781, 648.969787597656, -0.73709511756897
[pos], 1316, 970.858154296875, 640.840759277344, -0.85192155838013
[pos], 1333, 978.043823242188, 631.524291992188, -0.97071290016174
[pos], 1350, 984.095886230469, 621.380065917969, -1.09011662006378
[pos], 1366, 988.882141113281, 610.629638671875, -1.20889782905579
[pos], 1383, 992.267700195313, 599.765869140625, -1.32365214824677
[pos], 1400, 994.438293457031, 588.179382324219, -1.44267094135284
[pos], 1416, 995.2197265625, 576.319274902344, -1.56223750114441
[pos], 1433, 994.633361816406, 564.942016601563, -1.6774275302887
[pos], 1449, 992.650146484375, 553.289367675781, -1.79660964012146
[pos], 1466, 989.299072265625, 541.964416503906, -1.91547811031342
[pos], 1483, 984.815185546875, 531.4912109375, -2.03028869628906
[pos], 1499, 978.924255371094, 521.237976074219, -2.1493456363678
[pos], 1516, 972.148803710938, 512.1044921875, -2.26385021209717
[pos], 1533, 964.063293457031, 503.51025390625, -2.38266491889954
[pos], 1549, 955.005920410156, 495.926147460938, -2.50151443481445
[pos], 1566, 945.494262695313, 489.687683105469, -2.61590003967285
[pos], 1583, 934.86572265625, 484.374877929688, -2.73538637161255
[pos], 1599, 923.786499023438, 480.398162841797, -2.85379457473755
[pos], 1616, 912.401672363281, 477.771667480469, -2.97138547897339
[pos], 1633, 901.021911621094, 476.507446289063, -3.08620643615723
[pos], 1649, 889.313781738281, 476.575164794922, -3.20390772819519
[pos], 1666, 877.707397460938, 478.013244628906, -3.32117342948914
[pos], 1683, 866.372863769531, 480.793762207031, -3.43855762481689
[pos], 1699, 855.483093261719, 484.861022949219, -3.55506539344788
[pos], 1716, 845.064575195313, 490.212280273438, -3.67248368263245
[pos], 1733, 835.50341796875, 496.627777099609, -3.78807234764099
[pos], 1749, 826.731262207031, 504.114990234375, -3.9035632610321
[pos], 1766, 818.797119140625, 512.665344238281, -4.02048015594482
[pos], 1783, 811.944946289063, 522.034973144531, -4.13675260543823
[pos], 1799, 806.058349609375, 532.479736328125, -4.25694131851196
[pos], 1816, 801.5517578125, 543.302856445313, -4.3742299079895
[pos], 1833, 798.372497558594, 554.451416015625, -4.49036741256714
[pos], 1849, 796.495727539063, 565.982421875, -4.60713148117065
[pos], 1866, 795.976867675781, 577.701110839844, -4.72462224960327
[pos], 1883, 796.80322265625, 589.165405273438, -4.83951807022095
[pos], 1899, 798.966430664063, 600.571228027344, -4.95549774169922
[pos], 1916, 802.395751953125, 611.543090820313, -5.0705623626709
[pos], 1933, 807.259155273438, 622.437561035156, -5.18861293792725
[pos], 1949, 813.197631835938, 632.400817871094, -5.30559349060059
[pos], 1966, 820.115539550781, 641.458679199219, -5.41938734054565
[pos], 1983, 828.418579101563, 650.040649414063, -5.53858804702759
[pos], 1999, 837.45849609375, 657.413513183594, -5.65485763549805
[pos], 2016, 847.22509765625, 663.648071289063, -5.77058219909668
[pos], 2033, 857.59326171875, 668.692810058594, -5.88556098937988
[pos], 2049, 868.516845703125, 672.527648925781, -6.0009388923645
[pos], 2066, 879.931457519531, 675.099853515625, -6.11743259429932
[pos], 2083, 891.859680175781, 676.338684082031, -6.23724699020386
[pos], 2099, 903.527893066406, 676.17138671875, -6.3534140586853
[sad], 2099, detach, 0.52833333333333
[as], 2099, 0.96601444482803
[pos], 2116, 914.937194824219, 675.092651367188, -6.38032484054565
[pos], 2133, 926.363098144531, 673.979125976563, -6.38032484054565
[pos], 2149, 938.259399414063, 672.819885253906, -6.38032484054565
[pos], 2166, 949.848266601563, 671.690551757813, -6.38032484054565
[pos], 2183, 961.566650390625, 670.548645019531, -6.38032484054565
[pos], 2199, 973.095642089844, 669.425109863281, -6.38032484054565
[pos], 2216, 984.76611328125, 668.287841796875, -6.38032484054565
[pos], 2233, 996.251159667969, 667.168762207031, -6.38032484054565
[pos], 2249, 1007.90075683594, 666.033508300781, -6.38032484054565
[pos], 2266, 1019.29510498047, 664.923095703125, -6.38032484054565
[pos], 2283, 1031.03308105469, 663.779357910156, -6.38032484054565
[pos], 2299, 1042.87023925781, 662.625915527344, -6.38032484054565
[pos], 2316, 1054.39831542969, 661.50244140625, -6.38032484054565
[pos], 2333, 1066.08410644531, 660.36376953125, -6.38032484054565
[pos], 2349, 1077.435546875, 659.257629394531, -6.38032484054565
[pos], 2366, 1089.15686035156, 658.115539550781, -6.38032484054565
[pos], 2383, 1100.72009277344, 656.98876953125, -6.38032484054565
[pos], 2399, 1112.55395507813, 655.835632324219, -6.38032484054565
[pos], 2416, 1124.041015625, 654.716125488281, -6.38032484054565
[pos], 2433, 1135.74475097656, 653.050964355469, -6.46478986740112
[pos], 2449, 1146.65063476563, 650.573303222656, -6.5446949005127
[pos], 2466, 1158.07092285156, 646.963989257813, -6.63027000427246
[pos], 2483, 1168.72717285156, 642.582824707031, -6.71258926391602
[pos], 2499, 1179.12023925781, 637.264709472656, -6.79600381851196
[pos], 2516, 1189.28881835938, 630.924438476563, -6.8816237449646
[pos], 2533, 1198.33801269531, 624.177978515625, -6.96226835250854
[pos], 2549, 1207.4970703125, 616.785095214844, -6.96226835250854
[pos], 2566, 1216.51708984375, 609.504821777344, -6.96226835250854
[pos], 2583, 1225.7607421875, 602.0439453125, -6.96226835250854
[pos], 2599, 1234.65295410156, 594.86669921875, -6.96226835250854
[pos], 2616, 1243.77844238281, 587.501098632813, -6.96226835250854
[pos], 2633, 1252.994140625, 580.0625, -6.96226835250854
[pos], 2649, 1261.88220214844, 572.888549804688, -6.96226835250854
[pos], 2666, 1271.02001953125, 565.512817382813, -6.96226835250854
[pos], 2683, 1280.27990722656, 558.038696289063, -6.96226835250854
[pos], 2699, 1289.14916992188, 550.879821777344, -6.96226835250854
[pos], 2716, 1298.39782714844, 543.414794921875, -6.96226835250854
[pos], 2733, 1307.21398925781, 536.298950195313, -6.96226835250854
[pos], 2749, 1316.619140625, 528.707763671875, -6.96226835250854
[pos], 2766, 1325.49365234375, 521.544860839844, -6.96226835250854
[pos], 2783, 1334.7333984375, 514.087036132813, -6.96226835250854
[pos], 2799, 1343.54333496094, 506.976043701172, -6.96226835250854
[pos], 2816, 1352.80041503906, 499.504150390625, -6.96226835250854
[pos], 2833, 1361.74780273438, 492.282348632813, -6.96226835250854
[pos], 2849, 1370.80480957031, 484.972198486328, -6.96226835250854
[pos], 2866, 1380.00415039063, 477.546844482422, -6.96226835250854
[pos], 2883, 1389.01879882813, 470.270538330078, -6.96226835250854
[pos], 2899, 1398.03442382813, 462.993347167969, -6.96226835250854
[pos], 2916, 1407.31652832031, 455.501129150391, -6.96226835250854
[pos], 2933, 1416.49536132813, 448.092468261719, -6.96226835250854
[pos], 2949, 1425.36096191406, 440.936645507813, -6.96226835250854
[pos], 2966, 1434.36657714844, 433.667755126953, -6.96226835250854
[pos], 2983, 1443.36499023438, 426.404602050781, -6.96226835250854
[pos], 2999, 1452.75183105469, 418.831970214844, -6.95774841308594
[pos], 3016, 1462.06994628906, 412.017669677734, -6.87526845932007
[pos], 3033, 1472.15991210938, 405.859405517578, -6.7908091545105
[pos], 3049, 1482.24291992188, 400.498962402344, -6.76966381072998
[pos], 3066, 1492.78442382813, 394.923767089844, -6.76966381072998
[pos], 3083, 1503.06213378906, 389.487915039063, -6.76966381072998
[pos], 3099, 1513.396484375, 384.022308349609, -6.76966381072998
[pos], 3116, 1523.37707519531, 378.743927001953, -6.76966381072998
[pos], 3133, 1533.83154296875, 373.21484375, -6.76966381072998
[pos], 3149, 1544.09680175781, 367.785888671875, -6.76966381072998
[pos], 3166, 1554.54077148438, 362.262390136719, -6.76966381072998
[pos], 3183, 1564.64758300781, 356.917236328125, -6.76966381072998
[pos], 3199, 1575.32580566406, 351.269744873047, -6.76966381072998
[pos], 3216, 1585.41870117188, 345.931793212891, -6.76966381072998
[pos], 3233, 1595.58972167969, 340.552551269531, -6.76966381072998
[pos], 3249, 1606.22290039063, 334.928894042969, -6.76966381072998
[pos], 3266, 1616.24291992188, 329.629577636719, -6.76966381072998
[pos], 3283, 1626.54455566406, 324.181335449219, -6.76966381072998
[pos], 3299, 1637.03186035156, 318.634857177734, -6.76966381072998
[pos], 3316, 1647.51953125, 313.088134765625, -6.76966381072998
[pos], 3333, 1657.50830078125, 307.80517578125, -6.76966381072998
[pos], 3349, 1668.07775878906, 302.215240478516, -6.76966381072998
[pos], 3366, 1678.14709472656, 296.889770507813, -6.76966381072998
[pos], 3383, 1688.61560058594, 291.353210449219, -6.76966381072998
[pos], 3399, 1699.06079101563, 285.829040527344, -6.76966381072998
[pos], 3416, 1709.17358398438, 280.480621337891, -6.76966381072998
[pos], 3433, 1719.66430664063, 274.932250976563, -6.76966381072998
[pos], 3449, 1729.75427246094, 269.595886230469, -6.76966381072998
[pos], 3466, 1740.27941894531, 264.029449462891, -6.76966381072998
[pos], 3483, 1750.58349609375, 259.086303710938, -6.69155025482178
[pos], 3499, 1761.64440917969, 254.869369506836, -6.60696983337402
[pos], 3516, 1772.72326660156, 251.675308227539, -6.5245885848999
[pos], 3533, 1784.28894042969, 249.361801147461, -6.4403133392334
[pos], 3549, 1795.68566894531, 248.053909301758, -6.35835456848145
[sad], 3549, attach, 0.09333333333333
[pos], 3566, 1805.03686523438, 241.427124023438, -6.86393451690674
[pos], 3583, 1815.26440429688, 235.632400512695, -6.73882675170898
[pos], 3599, 1826.32934570313, 231.097793579102, -6.61088609695435
[pos], 3616, 1837.28930664063, 228.130233764648, -6.48973941802979
[pos], 3633, 1848.96301269531, 226.474472045898, -6.36377859115601
[pos], 3649, 1860.37060546875, 226.278579711914, -6.24280023574829
[pos], 3666, 1872.1357421875, 227.538482666016, -6.11647510528564
[pos], 3683, 1883.76770019531, 230.304290771484, -5.98872900009155
[pos], 3699, 1894.39172363281, 234.27392578125, -5.86800765991211
[pos], 3716, 1904.98449707031, 239.811096191406, -5.74083471298218
[pos], 3733, 1914.28515625, 246.250106811523, -5.6202278137207
[pos], 3749, 1923.1630859375, 254.178192138672, -5.49383544921875
[pos], 3766, 1930.61608886719, 262.707611083984, -5.37276172637939
[pos], 3783, 1937.18688964844, 272.408325195313, -5.24813318252563
[pos], 3799, 1942.49475097656, 282.835601806641, -5.12372016906738
[pos], 3816, 1946.49475097656, 293.929382324219, -4.99824285507202
[pos], 3833, 1949.06726074219, 305.379516601563, -4.87398481369019
[pos], 3849, 1950.19787597656, 317.087951660156, -4.74864864349365
[pos], 3866, 1949.90734863281, 328.318084716797, -4.62954378128052
[pos], 3883, 1948.17858886719, 339.931243896484, -4.50490570068359
[pos], 3899, 1945.01684570313, 351.250213623047, -4.38063192367554
[pos], 3916, 1940.44421386719, 362.144714355469, -4.25499296188354
[pos], 3933, 1934.61022949219, 372.285003662109, -4.13094711303711
