[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 319.250640869141, 512.0, 0.0
[pos], 183, 333.926910400391, 512.0, 0.0
[pos], 199, 335.983123779297, 512.0, 0.0
[pos], 216, 349.005340576172, 512.0, 0.0
[pos], 233, 349.005340576172, 512.0, 0.0
[pos], 249, 364.11572265625, 512.0, 0.0
[pos], 266, 375.368438720703, 512.0, 0.0
[pos], 283, 378.454559326172, 512.0, 0.0
[pos], 300, 389.730895996094, 512.0, 0.0
[pos], 316, 393.252777099609, 512.0, 0.0
[pos], 333, 407.054779052734, 512.0, 0.0
[pos], 350, 418.878356933594, 512.0, 0.0
[pos], 366, 421.886474609375, 512.0, 0.0
[pos], 383, 436.269134521484, 512.0, 0.0
[pos], 399, 436.269134521484, 512.0, 0.0
[pos], 416, 451.890380859375, 512.0, 0.0
[pos], 433, 464.193298339844, 512.0, 0.0
[pos], 449, 467.872711181641, 512.0, 0.0
[pos], 466, 481.792816162109, 512.0, 0.0
[pos], 483, 481.792816162109, 512.0, 0.0
[pos], 499, 497.48974609375, 512.0, 0.0
[pos], 516, 510.797882080078, 512.0, 0.0
[pos], 533, 512.979797363281, 512.0, 0.0
[pos], 550, 527.054748535156, 512.0, 0.0
[pos], 566, 527.054748535156, 512.0, 0.0
[pos], 583, 543.152038574219, 512.0, 0.0
[pos], 600, 556.745300292969, 512.0, 0.0
[pos], 616, 558.766662597656, 512.0, 0.0
[pos], 633, 574.364990234375, 512.0, 0.0
[pos], 650, 574.364990234375, 512.0, 0.0
[pos], 666, 591.650085449219, 512.0, 0.0
[pos], 683, 603.072570800781, 512.0, 0.0
[pos], 700, 606.241821289063, 512.0, 0.0
[pos], 716, 618.132263183594, 512.0, 0.0
[pos], 733, 618.132263183594, 512.0, 0.0
[pos], 750, 637.538940429688, 512.0, 0.0
[pos], 766, 647.322631835938, 512.0, 0.0
[pos], 783, 649.187927246094, 512.0, 0.0
[pos], 800, 665.148559570313, 512.0, 0.0
[pos], 816, 665.148559570313, 512.0, 0.0
