[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 265.771057128906, 512.0, 0.0
[pos], 66, 272.509307861328, 512.0, 0.0
[pos], 83, 281.861511230469, 512.0, 0.0
[pos], 99, 288.268707275391, 512.0, 0.0
[pos], 116, 298.264709472656, 512.0, 0.0
[pos], 133, 305.476654052734, 512.0, 0.0
[pos], 150, 311.858764648438, 512.0, 0.0
[pos], 166, 321.981170654297, 512.0, 0.0
[pos], 183, 329.172973632813, 512.0, 0.0
[pos], 199, 336.211822509766, 512.0, 0.0
[pos], 216, 346.388671875, 512.0, 0.0
[pos], 233, 353.306213378906, 512.0, 0.0
[pos], 249, 360.730987548828, 512.0, 0.0
[pos], 266, 371.384796142578, 512.0, 0.0
[pos], 283, 378.676300048828, 512.0, 0.0
[pos], 300, 386.441497802734, 512.0, 0.0
[pos], 316, 397.033996582031, 512.0, 0.0
[pos], 333, 404.484191894531, 512.0, 0.0
[pos], 350, 412.176696777344, 512.0, 0.0
[pos], 366, 423.320159912109, 512.0, 0.0
[pos], 383, 431.046752929688, 512.0, 0.0
[pos], 399, 441.988739013672, 512.0, 0.0
[pos], 416, 449.860504150391, 512.0, 0.0
[pos], 433, 457.769134521484, 512.0, 0.0
[pos], 449, 468.959686279297, 512.0, 0.0
[pos], 466, 476.255615234375, 512.0, 0.0
[pos], 483, 487.753326416016, 512.0, 0.0
[pos], 499, 496.120025634766, 512.0, 0.0
[pos], 516, 507.623474121094, 512.0, 0.0
[pos], 533, 516.046020507813, 512.0, 0.0
[pos], 550, 520.395385742188, 512.0, 0.0
[pos], 566, 532.381958007813, 512.0, 0.0
[pos], 583, 540.506591796875, 512.0, 0.0
[pos], 600, 548.559143066406, 512.0, 0.0
[pos], 616, 560.316589355469, 512.0, 0.0
[pos], 633, 568.012145996094, 512.0, 0.0
[pos], 650, 575.786682128906, 512.0, 0.0
[pos], 666, 587.134643554688, 512.0, 0.0
[pos], 683, 595.281982421875, 512.0, 0.0
[pos], 700, 602.561584472656, 512.0, 0.0
[pos], 716, 613.684143066406, 512.0, 0.0
[pos], 733, 621.680236816406, 512.0, 0.0
[pos], 750, 629.228088378906, 512.0, 0.0
[pos], 766, 640.2333984375, 512.0, 0.0
[pos], 783, 648.762451171875, 512.0, 0.0
[pos], 800, 656.036682128906, 512.0, 0.0
[pos], 816, 666.729797363281, 512.0, 0.0
[pos], 833, 674.145202636719, 512.0, 0.0
[pos], 850, 681.321533203125, 512.0, 0.0
[pos], 866, 691.748474121094, 512.0, 0.0
[pos], 883, 698.718811035156, 512.0, 0.0
[pos], 900, 705.501831054688, 512.0, 0.0
[pos], 916, 715.12158203125, 512.0, 0.0
[pos], 933, 721.694885253906, 512.0, 0.0
[pos], 950, 731.305847167969, 512.0, 0.0
[pos], 966, 738.101257324219, 512.0, 0.0
[pos], 983, 747.427917480469, 512.0, 0.0
[pos], 1000, 754.070617675781, 512.0, 0.0
[pos], 1016, 760.713806152344, 512.0, 0.0
[pos], 1033, 770.215698242188, 512.0, 0.0
[pos], 1050, 776.42724609375, 512.0, 0.0
[pos], 1066, 783.035888671875, 512.0, 0.0
[pos], 1083, 792.309631347656, 512.0, 0.0
[pos], 1100, 798.500915527344, 512.0, 0.0
[pos], 1116, 807.357727050781, 512.0, 0.0
[pos], 1133, 813.528686523438, 512.0, 0.0
[pos], 1150, 819.387329101563, 512.0, 0.0
[sad], 1150, attach, 0.315
[pos], 1166, 826.36083984375, 507.192626953125, -0.82071685791016
[pos], 1183, 830.666259765625, 502.966369628906, -0.75799548625946
[pos], 1200, 835.457824707031, 498.815673828125, -0.7011895775795
[pos], 1216, 842.969909667969, 493.294708251953, -0.59994405508041
[pos], 1233, 848.664245605469, 489.777770996094, -0.53297191858292
[pos], 1250, 854.455627441406, 486.722320556641, -0.47037532925606
[pos], 1266, 860.720336914063, 483.937591552734, -0.4038867354393
[pos], 1283, 869.934265136719, 480.749786376953, -0.29893320798874
[pos], 1300, 876.63916015625, 479.039337158203, -0.22860042750835
[pos], 1316, 883.373352050781, 477.813110351563, -0.15769177675247
[pos], 1333, 890.45849609375, 477.030548095703, -0.0946622043848
[pos], 1350, 897.153198242188, 476.768371582031, -0.02480437979102
[pos], 1366, 907.7900390625, 477.26904296875, 0.08982822299004
[pos], 1383, 915.547485351563, 478.349365234375, 0.15463930368423
[pos], 1400, 922.515991210938, 479.874420166016, 0.23228573799133
[pos], 1416, 929.584228515625, 481.964477539063, 0.30310681462288
[pos], 1433, 939.523986816406, 485.917510986328, 0.41610062122345
[pos], 1449, 946.015869140625, 489.199737548828, 0.48969236016273
[pos], 1466, 952.347900390625, 493.001678466797, 0.5539076924324
[pos], 1483, 958.669006347656, 497.472106933594, 0.63150238990784
[sad], 1483, detach, 0.38166666666667
[as], 1483, 0.61390376091003
[pos], 1499, 967.346008300781, 504.873260498047, 0.73900181055069
[pos], 1516, 972.844604492188, 510.496185302734, 0.81564182043076
[pos], 1533, 978.056701660156, 516.738708496094, 0.89428681135178
[pos], 1549, 982.673828125, 523.222106933594, 0.97069180011749
[pos], 1566, 986.585510253906, 529.659973144531, 1.04250681400299
[pos], 1583, 991.6455078125, 539.990234375, 1.15125679969788
[pos], 1599, 994.567443847656, 547.727416992188, 1.22873175144196
[pos], 1616, 996.797790527344, 555.300109863281, 1.30216670036316
[pos], 1633, 998.523559570313, 563.3701171875, 1.37839674949646
[pos], 1649, 999.946105957031, 575.296325683594, 1.4884467124939
[pos], 1666, 1000.15087890625, 583.821044921875, 1.56588172912598
[pos], 1683, 999.691528320313, 592.398193359375, 1.64333665370941
[pos], 1699, 999.081298828125, 600.795227050781, 1.64333665370941
[pos], 1716, 998.498413085938, 608.81640625, 1.64333665370941
[pos], 1733, 997.554382324219, 621.807678222656, 1.64333665370941
[pos], 1749, 996.937316894531, 630.299072265625, 1.64333665370941
[pos], 1766, 996.322326660156, 638.762817382813, 1.64333665370941
[pos], 1783, 995.681640625, 647.579040527344, 1.64333665370941
[pos], 1799, 995.087951660156, 655.74951171875, 1.64333665370941
[pos], 1816, 994.49462890625, 663.914184570313, 1.64333665370941
[pos], 1833, 993.617736816406, 675.981079101563, 1.64333665370941
[pos], 1849, 993.035339355469, 683.995483398438, 1.64333665370941
[pos], 1866, 992.437744140625, 692.219055175781, 1.64333665370941
[pos], 1883, 991.849487304688, 700.313842773438, 1.64333665370941
