[elsc], 0, aries_test.tscn, start
[pos], 33, 256.0, 512.0, 0.0
[pos], 50, 256.0, 512.0, 0.0
[pos], 66, 256.0, 512.0, 0.0
[pos], 83, 256.0, 512.0, 0.0
[pos], 99, 256.0, 512.0, 0.0
[pos], 116, 256.0, 512.0, 0.0
[pos], 133, 256.0, 512.0, 0.0
[pos], 150, 256.0, 512.0, 0.0
[pos], 166, 325.764862060547, 512.0, 0.0
[pos], 183, 333.195678710938, 512.0, 0.0
[pos], 199, 333.195678710938, 512.0, 0.0
[pos], 216, 350.293395996094, 512.0, 0.0
[pos], 233, 356.801452636719, 512.0, 0.0
[pos], 249, 356.801452636719, 512.0, 0.0
[pos], 266, 372.503936767578, 512.0, 0.0
[pos], 283, 372.503936767578, 512.0, 0.0
[pos], 300, 389.543762207031, 512.0, 0.0
[pos], 316, 389.543762207031, 512.0, 0.0
[pos], 333, 409.694488525391, 512.0, 0.0
[pos], 350, 419.376953125, 512.0, 0.0
[pos], 366, 427.687896728516, 512.0, 0.0
[pos], 383, 437.080444335938, 512.0, 0.0
[pos], 399, 446.707183837891, 512.0, 0.0
[pos], 416, 454.645172119141, 512.0, 0.0
[pos], 433, 464.290008544922, 512.0, 0.0
[pos], 449, 474.305999755859, 512.0, 0.0
[pos], 466, 482.640197753906, 512.0, 0.0
[pos], 483, 492.432983398438, 512.0, 0.0
[pos], 499, 502.328094482422, 512.0, 0.0
[pos], 516, 510.641571044922, 512.0, 0.0
[pos], 533, 518.992126464844, 512.0, 0.0
[pos], 550, 528.870056152344, 512.0, 0.0
[pos], 566, 538.700317382813, 512.0, 0.0
[pos], 583, 546.82470703125, 512.0, 0.0
[pos], 600, 556.545715332031, 512.0, 0.0
[pos], 616, 566.13427734375, 512.0, 0.0
[pos], 633, 575.745056152344, 512.0, 0.0
[pos], 650, 583.667419433594, 512.0, 0.0
[pos], 666, 593.117553710938, 512.0, 0.0
[pos], 683, 602.477233886719, 512.0, 0.0
[pos], 700, 610.507873535156, 512.0, 0.0
[pos], 716, 619.521728515625, 512.0, 0.0
[pos], 733, 629.411865234375, 512.0, 0.0
[pos], 750, 637.500610351563, 512.0, 0.0
[pos], 766, 645.453430175781, 512.0, 0.0
[pos], 783, 654.333740234375, 512.0, 0.0
[pos], 800, 663.193908691406, 512.0, 0.0
[pos], 816, 671.151489257813, 512.0, 0.0
