[elsc], 0, aries_test.tscn, start
[pos], 16, 261.6669921875, 512.0, 0.0
[pos], 33, 269.264251708984, 512.0, 0.0
[pos], 50, 276.643127441406, 512.0, 0.0
[pos], 66, 284.688995361328, 512.0, 0.0
[pos], 83, 292.428039550781, 512.0, 0.0
[pos], 99, 300.217956542969, 512.0, 0.0
[pos], 116, 307.97607421875, 512.0, 0.0
[pos], 133, 315.081024169922, 512.0, 0.0
[pos], 150, 324.032257080078, 512.0, 0.0
[pos], 166, 332.489898681641, 512.0, 0.0
[pos], 183, 340.498779296875, 512.0, 0.0
[pos], 199, 348.706359863281, 512.0, 0.0
[pos], 216, 356.981658935547, 512.0, 0.0
[pos], 233, 365.678253173828, 512.0, 0.0
[pos], 249, 374.296936035156, 512.0, 0.0
[pos], 266, 382.747406005859, 512.0, 0.0
[pos], 283, 391.247344970703, 512.0, 0.0
[pos], 300, 399.615417480469, 512.0, 0.0
[pos], 316, 408.700500488281, 512.0, 0.0
[pos], 333, 417.8271484375, 512.0, 0.0
[pos], 350, 426.596313476563, 512.0, 0.0
[pos], 366, 435.392852783203, 512.0, 0.0
[pos], 383, 444.576324462891, 512.0, 0.0
[pos], 399, 453.506469726563, 512.0, 0.0
[pos], 416, 463.011047363281, 512.0, 0.0
[pos], 433, 472.092712402344, 512.0, 0.0
[pos], 449, 481.211456298828, 512.0, 0.0
[pos], 466, 490.986022949219, 512.0, 0.0
[pos], 483, 500.376892089844, 512.0, 0.0
[pos], 499, 509.798248291016, 512.0, 0.0
[pos], 516, 518.924072265625, 512.0, 0.0
[pos], 533, 528.320129394531, 512.0, 0.0
[pos], 550, 537.691345214844, 512.0, 0.0
[pos], 566, 546.7626953125, 512.0, 0.0
[pos], 583, 556.456176757813, 512.0, 0.0
[pos], 600, 565.562927246094, 512.0, 0.0
[pos], 616, 574.633666992188, 512.0, 0.0
[pos], 633, 583.431518554688, 512.0, 0.0
[pos], 650, 592.826599121094, 512.0, 0.0
[pos], 666, 601.659606933594, 512.0, 0.0
[pos], 683, 610.626098632813, 512.0, 0.0
[pos], 700, 619.150756835938, 512.0, 0.0
[pos], 716, 628.266662597656, 512.0, 0.0
[pos], 733, 636.817260742188, 512.0, 0.0
[pos], 750, 645.341064453125, 512.0, 0.0
[pos], 766, 654.201843261719, 512.0, 0.0
[pos], 783, 662.417724609375, 512.0, 0.0
[pos], 800, 670.702392578125, 512.0, 0.0
[pos], 816, 679.379821777344, 512.0, 0.0
[pos], 833, 687.372314453125, 512.0, 0.0
[pos], 850, 695.433837890625, 512.0, 0.0
[pos], 866, 703.823547363281, 512.0, 0.0
[pos], 883, 711.731689453125, 512.0, 0.0
[pos], 900, 719.9931640625, 512.0, 0.0
[pos], 916, 727.657287597656, 512.0, 0.0
[pos], 933, 735.405578613281, 512.0, 0.0
[pos], 950, 743.476806640625, 512.0, 0.0
[pos], 966, 750.917358398438, 512.0, 0.0
[pos], 983, 758.456298828125, 512.0, 0.0
[pos], 1000, 766.276794433594, 512.0, 0.0
[pos], 1016, 773.673583984375, 512.0, 0.0
[pos], 1033, 780.847900390625, 512.0, 0.0
[pos], 1050, 788.487243652344, 512.0, 0.0
[pos], 1066, 795.663146972656, 512.0, 0.0
[pos], 1083, 803.156188964844, 512.0, 0.0
[pos], 1100, 810.092163085938, 512.0, 0.0
[pos], 1116, 817.378967285156, 512.0, 0.0
[pos], 1133, 824.268981933594, 512.0, 0.0
[sad], 1133, attach, 0.31
[pos], 1150, 829.132507324219, 507.284149169922, -0.77687776088715
[pos], 1166, 834.234252929688, 502.646148681641, -0.70385891199112
[pos], 1183, 839.944030761719, 498.176544189453, -0.62819904088974
[pos], 1200, 846.025451660156, 494.120086669922, -0.55201536417007
[pos], 1216, 852.478088378906, 490.497436523438, -0.47490793466568
[pos], 1233, 859.125366210938, 487.410430908203, -0.3985558450222
[pos], 1250, 865.820434570313, 484.89501953125, -0.32403004169464
[pos], 1266, 873.030212402344, 482.797637939453, -0.24606332182884
[pos], 1283, 880.501281738281, 481.250091552734, -0.16804496943951
[pos], 1300, 888.000366210938, 480.306915283203, -0.08789682388306
[pos], 1316, 895.778259277344, 479.954559326172, -0.00682840216905
[pos], 1333, 903.612854003906, 480.237274169922, 0.07478992640972
[pos], 1350, 911.474182128906, 481.169952392578, 0.15717248618603
[pos], 1366, 919.139770507813, 482.724304199219, 0.23853078484535
[pos], 1383, 926.874633789063, 484.970123291016, 0.32232519984245
[pos], 1400, 934.437255859375, 487.874084472656, 0.406583994627
[pos], 1416, 941.799743652344, 491.442413330078, 0.49166360497475
[pos], 1433, 948.760314941406, 495.576995849609, 0.57580280303955
[pos], 1449, 955.525756835938, 500.420043945313, 0.66230350732803
[pos], 1466, 961.561950683594, 505.563690185547, 0.74471211433411
[pos], 1483, 967.516479492188, 511.584838867188, 0.83107042312622
[pos], 1499, 972.942993164063, 518.137939453125, 0.91986256837845
[pos], 1516, 977.818542480469, 525.222473144531, 1.0103542804718
[pos], 1533, 982.076599121094, 532.7802734375, 1.10043013095856
[pos], 1549, 985.667236328125, 540.765014648438, 1.19197285175323
[pos], 1566, 988.491455078125, 548.953063964844, 1.28119540214539
[pos], 1583, 990.614868164063, 557.588806152344, 1.3741101026535
[pos], 1599, 991.887817382813, 565.94970703125, 1.46120262145996
[pos], 1616, 992.434143066406, 575.032653808594, 1.55319547653198
[pos], 1633, 992.139404296875, 583.898193359375, 1.64751505851746
[pos], 1649, 990.97998046875, 592.999572753906, 1.74259471893311
[pos], 1666, 988.922241210938, 602.092590332031, 1.83920609951019
[pos], 1683, 985.968383789063, 611.018737792969, 1.93478810787201
[pos], 1699, 982.413879394531, 619.106567382813, 2.02799248695374
[pos], 1716, 977.726928710938, 627.4951171875, 2.12750649452209
[pos], 1733, 972.516296386719, 635.004760742188, 2.22211265563965
[pos], 1749, 966.181518554688, 642.457214355469, 2.32144451141357
[pos], 1766, 959.213073730469, 649.155090332031, 2.42318868637085
[pos], 1783, 951.931701660156, 654.896423339844, 2.51926612854004
[pos], 1799, 943.611328125, 660.213928222656, 2.62132740020752
[pos], 1816, 934.678039550781, 664.706237792969, 2.72281527519226
[pos], 1833, 925.472412109375, 668.205871582031, 2.82639288902283
[pos], 1849, 916.2666015625, 670.686706542969, 2.92492747306824
[pos], 1866, 906.252075195313, 672.319030761719, 3.0297429561615
